ID|Committee Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Candidate Last Name|Candidate First Name|Interest Paid
194|Jansen for County Attorney|94 2nd General Campaign Statement|10/31/1994|11/01/1994|$10.00|PAID||||Jansen|James|
195|Jansen for County Attorney|93 Annual Campaign Statement|01/31/1994|02/01/1994|$10.00|PAID||||Jansen|James|
196|Jensen for Legislature|Statement of Organization|03/20/1998|04/07/1998|$180.00|PAID||||Jensen|Andrew|
197|Jim Jensen for Legislature|Statement of Organization|03/15/1994|04/01/1994|$170.00|REDUCED|$0.00|06/17/1994||Jensen|Jim|
198|Ralph Johnson for NPPD|95 Annual Campaign Statement|01/31/1996|02/05/1996|$50.00|REDUCED|$10.00|04/09/1996|04/09/1996|Johnson|Ralph|
199|Rod Johnson for PSC|96 Annual Campaign Statement|01/31/1997|02/04/1997|$40.00|PAID||||Johnson|Rod|
200|Rod Johnson for PSC|93 Annual Campaign Statement|01/31/1994|02/09/1994|$90.00|PAID||||Johnson|Rod|
201|Ruth Johnson for SCC|96 Annual Campaign Statement|02/02/1998|02/03/1998|$10.00|PAID||||Johnson|Ruth|
202|Ruth Johnson for SCC|95 Annual Campaign Statement|01/31/1996|02/05/1996|$50.00|REDUCED|$0.00|04/16/1996||Johnson|Ruth|
203|Jones for Legislature|96 2nd General Campaign Statement|10/28/1996|10/30/1996|$20.00|PAID||||Jones|Jim|
204|Jones for Legislature|Report of Late Contribution|10/28/1996|10/30/1996|$100.00|PAID||||Jones|Jim|
205|Jones for Legislature|96 2nd Primary Campaign Statement|05/06/1996|05/07/1996|$10.00|PAID||||Jones|Jim|
206|Committee to Re-Elect Jorgensen to OPPD|93 Annual Campaign Statement|01/31/1994|01/09/1995|$300.00|PAID||||Jorgensen|Dennis|
207|Committee to Re-Elect Jorgensen for OPPD|96 Annual Campaign Statement|01/31/1997|05/19/1997|$300.00|PAID||||Jorgensen|Dennis|
208|Keefe for Public Defender|95 Annual Campaign Statement|01/31/1996|02/09/1996|$90.00|REDUCED|$30.00|03/04/1996|03/04/1996|Keefe|Dennis|
209|Shelley Kiel for Legislature|96 Post Primary Campaign Statement|06/24/1996|06/26/1996|$20.00|REDUCED|$0.00|08/19/1996||Kiel|Shelley|
210|Sandra Kostos Jensen for School Board|96 1st General Campaign Statement|10/07/1996|10/11/1996|$40.00|PAID||||Kostos Jensen|Sandra|
211|Marc Kraft Election Committee|97 Post General Campaign Statement|06/23/1997|06/25/1997|$20.00|PAID||||Kraft|Marc|
