ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
263|Daniel G Dolan, PC|May|06/10/1996|06/18/1996|$80.00|PAID||||
264|Double J Construction, Inc.|May|04/10/1998|04/15/1998|$50.00|REDUCED|$0.00|05/20/1998||
265|Double J Farms & Feedlot, Inc.|March|04/10/1998|04/27/1998|$170.00|REDUCED|$0.00|||
266|Double S, Inc.|March|04/10/1998|06/03/1998|$300.00|REDUCED|$0.00|06/23/1998||
267|Douglas Manufacturing Corporation|September|10/10/1996|02/20/1997|$300.00|PAID||||
268|Douglas Manufacturing Corporation|September|10/10/1996|10/31/1996|$210.00|PAID||||
269|Douglas Theatre Co.|November|12/10/1996|04/21/1997|$300.00|REDUCED|$0.00|05/08/1997||
270|Drake-Williams Steel, Inc.|October|11/10/1996|03/27/1997|$300.00|REDUCED|$0.00|05/15/1997||
271|DuTeau Chevrolet Company|January|01/01/1997|04/27/1998|$300.00|PAID||||
272|DuTeau Chevrolet Company|April|05/10/1996|08/12/1996|$100.00|REDUCED|$0.00|09/19/1996||
273|Dutton-Lainson Company|October|11/12/1996|11/20/1996|$80.00|REDUCED|$0.00|01/02/1997||
274|EPS Technologies|December|01/10/1997|04/24/1997|$300.00|REDUCED|$0.00|05/08/1997||
275|Eby's, Inc.|September|10/10/1996|10/15/1996|$50.00|PAID||||
276|Eggers Consulting Co., Inc.|April|07/10/1997|08/14/1997|$300.00|REDUCED|$0.00|08/26/1997||
277|Elkhorn Valley Bank|April|05/10/1996|05/29/1996|$190.00|REDUCED|$0.00|06/12/1996||
278|Elrod Woolworth Co., Inc.|January|02/10/1997|01/20/1998|$300.00|REDUCED|$0.00|02/04/1998||
279|Erickson & Sederstrom, PC|July|08/12/1996|08/16/1996|$40.00|PAID||||
280|Everly Plumbing & Heating, Inc.|September|10/10/1996|10/24/1996|$140.00|REDUCED|$0.00|01/02/1997||
281|Excavating, Inc.|October|11/10/1997|02/12/1997|$300.00|REDUCED|$0.00|03/02/1998||
282|Eyecare Specialties|April|05/11/1998|06/02/1998|$220.00|PAID|$10.00|06/29/1998||
283|Eyecare Specialties|March|04/10/1998|05/20/1998|$300.00|REDUCED|$0.00|05/29/1998||
284|Fairbury Motors, Inc.|October|11/12/1996|11/18/1996|$60.00|REDUCED|$0.00|01/02/1997||
285|Farmers Garage, Inc.|October|11/12/1996|02/21/1997|$300.00|REDUCED|$0.00|03/12/1997||
286|Fehrs nebraska Tractor & Equipment Co.|May|06/10/1996|09/20/1996|$300.00|REDUCED|$0.00|10/04/1996||
287|Bob Feller, Inc.|December|01/12/1998|02/11/1998|$300.00|REDUCED|$0.00|03/02/1998||
288|Fernando's Restaurant|June|07/10/1996|07/18/1996|$80.00|PAID||||
289|Ferris Farms, Inc.|April|05/11/1998|05/20/1998|$100.00|REDUCED|$0.00|06/01/1998||
290|Financial Solutions, Inc.|February|03/10/1998|04/03/1998|$240.00|REDUCED|$0.00|04/14/1998||
291|First Bank National Association|April|05/10/1997|09/08/1997|$300.00|PAID||||
292|First Bank National Association|November|12/10/1996|01/23/1997|$300.00|PAID||||
293|First Bank National Association|September|10/10/1996|01/08/1997|$300.00|REDUCED|$0.00|01/28/1997||
294|First Bank National Association|October|11/12/1996|01/08/1997|$300.00|PAID||||
295|First Data Resources|March|04/10/1998|06/05/1998|$300.00|PAID||||
296|First National Bank of Omaha|August|09/10/1996|10/11/1996|$300.00|PAID||||
297|First National Bank Scottsbluff|April|05/10/1996|05/30/1996|$200.00|REDUCED|$0.00|06/03/1996||
298|First Nebraska Title and Escrow Company|February|03/10/1997|07/25/1997|$300.00|REDUCED|$0.00|08/08/1997||
299|First Nebraska Title and Escrow Company|February|03/10/1997|04/28/1997|$300.00|REDUCED|$0.00|05/14/1997||
300|First Security Bank|April|05/11/1998|06/15/1998|$300.00|REDUCED|$0.00|07/01/1998||
301|First Star Corp. d/b/a  KKUL & KFGE Radios|April|05/11/1998|06/03/1998|$230.00|REDUCED|$0.00|07/30/1998||
302|First State Bank Fremont|October|11/12/1996|12/10/1996|$280.00|REDUCED|$0.00|01/09/1997||
303|First State Bank Scottsbluff|April|05/10/1996|05/28/1996|$180.00|REDUCED|$0.00|06/12/1996||
304|First State Bank Scottsbluff|October|11/12/1996|11/18/1996|$60.00|REDUCED|$0.00|01/09/1997||
305|Fitch Trucking, Inc.|October|11/10/1996|08/29/1997|$300.00|PAID||||
306|Five Points Bank|October|11/12/1996|02/18/1997|$300.00|REDUCED|$0.00|04/21/1997||
307|Five Points Bank|December|01/10/1997|02/18/1997|$300.00|REDUCED|$0.00|04/21/1997||
308|Flinn Paving Co., Inc.|September|10/10/1996|03/07/1997|$300.00|REDUCED|$0.00|04/02/1997||
309|Flinn Paving Co., Inc.|October|11/12/1996|03/07/1997|$300.00|REDUCED|$0.00|04/02/1997||
310|Fleming Companies, Inc. d/b/a Baker's Supermarkets|March|04/10/1998|07/10/1998|$300.00|REDUCED|$0.00|07/22/1998||
311|Foote Equipment Co.|October|11/12/1996|11/20/1996|$80.00|REDUCED|$0.00|12/17/1996||
312|Fort Calhoun Stone Company|December|01/12/1998|03/24/1998|$300.00|REDUCED|$0.00|04/14/1998||
313|Fort Kearney Feeders, Inc.|December|01/12/1998|02/11/1998|$300.00|REDUCED|$0.00|03/02/1998||
314|Four Sons, Inc.|June|07/10/1996|08/27/1996|$300.00|PAID||||
315|Fraser, Stryker, Vaughn, Meusey, Olson Boyle & Bloch|August|09/10/1996|06/19/1997|$300.00|REDUCED|$0.00|06/27/1997||
316|Fraternal Order of Police, Douglas County Lodge #2|February|03/10/1998|03/12/1998|$20.00|PAID||||
317|Fraternal Order of Police, Douglas County Lodge #2|October|11/10/1997|11/13/1997|$30.00|PAID||||
318|Fraternal Order of Police, Douglas County Lodge #2|September|10/10/1996|03/04/1997|$300.00|REDUCED|$0.00|05/05/1997||
319|Fraternal Order of Police, Douglas County Lodge #2|December|01/10/1997|03/04/1997|$300.00|REDUCED|$0.00|05/05/1997||
320|Fraternal Order of Police Lodge #8|March|04/10/1997|04/03/1998|$300.00|REDUCED|$0.00|05/14/1998||
321|Fraternal Order of Police Lodge #8|September|10/10/1997|04/03/1998|$300.00|PAID|$20.00|05/14/1998||
