Committee ID Number|Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee Type|Date Received|Postmark Date|Nature Of Filing|Ballot Question|Oppose Ballot Question|Ballot Type|Date over Theshold|Acronym|Separate Seg Political Fund ID|Separate Segregated Political Fund Name|SSPF Address|SSPF City|SSPF State|SSPF Zip|SSPF Type|Date Dissolved|Date of Next Election|Election Type|Won General|Won Primary
08BQC00200|25 COUNTIES FOR OUR FUTURE|PO BOX 2024; 1413 CRANE AVENUE|HASTINGS|NE|68902|B|08/08/2008|08/08/2008|I|Shall Central Community College, be allowed to Levy a property tax.|0||08/22/2008||||||||||11/04/2008|G||
99CAC00249|A LOT OF FOLKS FOR BRENDA COUNCIL FOR MAYOR|2001 FLORENCE MILLS PLAZA,|OMAHA|NE|68110|C|02/16/1993|02/16/1993|I||0|I|02/16/1993|       |          |||||||03/28/2000|11/04/1997|G|0|0
08CAC01163|AARON A. CLARK FOR SCHOOL BOARD|2211 S. 181ST CIRCLE |OMAHA|NE|68130|C|07/01/2008|06/30/2008|I||||06/26/2008||||||||||11/04/2008|G||
07PAC00152|ABATE OF NE INC. PAC|1701 K STREET, P.O. BOX 30322|LINCOLN|NE|68503|S|07/25/2007|07/24/2007|I||||07/23/2007|||||||||06/09/2008||||
07CAC01019|ABBOTT FOR COUNCIL|610 SYCAMORE DRIVE|LINCOLN|NE|68510|C|03/02/2007|03/02/2007|I||||02/28/2007|||||||||12/12/2007|04/03/2007|||
07CAC01032|ABC COMMITTEE (NOT A REGISTERED COMMITTEE)|11724 N. 172ND CIRCLE|BENNINGTON|NE|68007|C|06/06/2007|06/06/2007|I||||06/01/2007|||||||||||||
07IRC00480|ACTBLUE NEBRASKA|1936 RYONS STREET|LINCOLN|NE|68502|C|06/08/2007|06/06/2007|I||||06/29/2007||||||||||11/02/2010|P||
09BQC00254|ADAMS CENTRAL PATRONS & TEACHERS FOR STUDENTS 2010|4100 NORTH COLUMBINE AVENUE|HASTINGS|NE|68901|B|11/20/2009|11/19/2009|I|Building a one-site elementary School|0|I|11/13/2009|||||||||10/15/2010|05/11/2010|P||
11BQC00302|ADAMS CENTRAL PATRONS & TEACHERS FOR STUDENTS 2011|4100 NORTH COLUMBINE AVENUE|HASTINGS|NE|68901|B|10/28/2011|10/27/2011|I|Building a one-site elementary school|0||10/25/2011||||||||||11/15/2011|||
99CAC00509|ADAMS FOR MAYOR|BOX 468|||687020468|C|09/26/2000|09/26/2000|I||0|I|02/09/2000|||||||||12/21/2001|11/07/2000|G||
99CAC00714|ADAMS FOR MAYOR OF NORFOLK NE|BOX 468|NORFOLK|NE|68702|C|08/25/2004|08/24/2004|I||0|I|10/19/2004|||||||||01/03/2006|11/02/2004|G|1|1
08BQC00210|ADVOCATES FOR BETTER CLASSROOMS (NOT REGISTERED)|525 WEST OAK AVENUE|ELM CREEK|NE|68836|B|12/31/9999|12/31/9999|I||||12/31/9999||||||||||11/04/2008|G||
11BQC00298|ADVOCATES FOR CMS|3660 BROOKSHIRE PL|Columbus|NE|68601|B|09/07/2011|09/06/2011|I|Build New Middle School|0||09/01/2011||||||||||10/11/2011|||
99PAC00027|AGC PAC (HIGHWAY IMPROVEMENT PAC)|635 SOUTH 14TH STREET-STE# 125|LINCOLN|NE|68508|S|04/26/1985|04/26/1985|I||0|I|04/26/1985||||||||||11/02/2010|G||
99CAC00018|AGENA FOR ASSESSOR|941 Daybreak Drive,|LINCOLN|NE|68505|C|11/29/1989|11/29/1989|I||0| |11/29/1989|       |          |||||||07/30/1998|05/04/1998|P|0|0
99CAC00587|AGENA FOR COUNTY ASSESSOR / REGISTER OF DEEDS|6901 FOREST LAKE BLVD|LINCOLN|NE|68516|C|03/15/2002|03/14/2002|I||0|I|03/15/2002||||||||||11/07/2006|G||1
99BQC00036|AGRICULTURE, MAIN STREET, AND EDUCATION AGAINST CO|605 SOUTH 14TH STREET SUITE 100|LINCOLN|NE|68508|B|09/04/1998|09/04/1998|I|CONSTITUTIONAL AMENDMENT 413                      |1|I|09/04/1998||99IRC00027||||||R|08/31/1999|11/04/1998|G|0|0
99BQC00036|AGRICULTURE, MAIN STREET, AND EDUCATION AGAINST CO|605 SOUTH 14TH STREET SUITE 100|LINCOLN|NE|68508|B|01/04/1999|09/04/1998|A|CONSTITUTIONAL AMENDMENT 413                      |1|I|09/04/1998||99IRC00027||||||R|01/04/1999|11/04/1998|G|0|0
08PAC00156|AIA-AMERICAN INSTITUTE OF ARCHITECTS PAC|PO BOX 80045 / 102 ARCHITECTURE HALL |Lincoln|NE|68501|P|08/28/2008|08/27/2008|I||||09/22/2008||||||||||11/02/2010|G||
12CAC01650|AL DAVIS FOR LEGISLATURE|66455 PONDEROSA RD|Hyannis|Ne|69350|C|04/05/2012||I||||03/28/2012||||||||||05/15/2012|P||
09CAC01323|ALAN MOORE ESU 3|NOT A REGISTERED COMMITTEE|MILLARD|NE|68425|C|12/31/9999|12/31/9999|I||||12/31/2008||||||||||11/04/2008|G||
99CAC00440|ALDONA DOYLE FOR SARPY COUNTY BOARD|7805 ARROW ROCK DRIVE|bellevue |ne|68157|C|03/28/2000|03/27/2000|I||0|I|03/20/2000|||||||||01/25/2010|11/02/2004|G|1|1
99CAC00238|ALEX MORENO FOR SHERIFF|1590 BEVERLY BLVD|GERING|NE|69341|C|05/18/1998|05/18/1998|I||0|I|05/18/1998|       |          |||||||02/02/2005|05/14/2002|P|0|0
99CAC00087|ALFREDO RAMIREZ ELECTION COMMITTEE|904 RIVERSIDE BLVD  BOX 403|Norfolk|NE|68701|C|05/04/1998|05/04/1998|I||0|I|05/04/1998|       |          |||||||01/31/2003|05/09/1999|P|0|0
10BQC00278|ALL THINGS NEBRASKA|1141 H STREET, SUITE B|LINCOLN|NE|68508|I|09/29/2010|09/29/2010|I||||09/29/2010||||||||||11/02/2010|G||
10CAC01506|ALLEN FOR EDUCATION|450 EAST ROAD 60|OGALLALA|NE|69153|C|10/27/2010|10/25/2010|I||||10/25/2010|||||||||01/12/2011|11/02/2010|G||
99CAC00139|ALLEN FOR REGENT COMMITTEE|1115 West 2nd Street,|HASTINGS|NE|68901|C|10/04/1988|10/04/1988|I||0|I|10/04/1988|       |          |||||||05/30/2000|05/04/1994|P|0|0
99PAC00013|ALLTEL PAC|1440 M STREET, PO BOX 81309|Lincoln|NE|68501|S|07/12/1982|07/12/1982|I||0|I|07/12/1982|       |          |||||||01/17/2000|01/01/2000|P|0|0
09CAC01333|ALPHA MARIE GOOMBI FOR LEARNING COUNCIL #1 (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68512|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|P||
08BQC00183|ALTERNATIVE BUILDING CONSTRUCTION SITE|58831 HWY 9|PONCA|NE|68770|B|07/29/2005|07/28/2005|I|CITY OF PONCA School Bond Issue|1|O|07/15/2005|||||||||01/14/2010|02/14/2006|P||
08BQC00205|AMERICAN CIVIL RIGHTS COALITION (NOT REGISTERED)|NOT A  REGISTERED COMMITTEE|Sacramento|CA|95816|B|01/01/1900|01/01/1900|I||||09/10/2008||||||||||11/04/2008|G||
06PAC00149|AMERICAN COUNCIL OF ENGINEERING COMPANIES/NEB. PAC|301 SOUTH 13TH ST, STE 101|LINCOLN|NE|68508|S|09/11/2006|09/11/2006|I||||12/31/9999||||||||||11/02/2010|G||
99PAC00119|AMERITAS LIFE INSURANCE CORP PAC|5900 O STREET|LINCOLN|NE|68510|S|07/09/1984|07/06/1984|I||0|I|07/07/1984||||||||||11/02/2010|G||
06BQC00120|AMES ECONOMIC DEVELOPMENT COMMISSION (NR)|N/A|LAVISTA|NE|68000|B|02/01/2006|01/30/2006|I||||01/01/1978|||||||||||||
09CAC01331|AMY BRACHT FOR LEARNING COUNCIL #1 (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68506|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|P||
06CAC00893|AMY LINDSAY FOR MUD BOARD|1002 NORTH 63RD STREET|OMAHA|NE|68132|C|05/03/2006|05/01/2006|I||||04/28/2006||||||||||11/04/2008|P||
07CAC01015|ANDREW HOVEY FOR COUNTY COMMISSIONER (NR)|NOT A REGISTERED COMMITTEE|South Sioux City|NE|68776-0323|C|12/31/9999||||||12/31/9999|||||||||||||
09CAC01350|ANDREW NORTHWALL FOR RALSTON BOARD OF ED #54 (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68528|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|P||
08CAC01298|ANDREW THILL FOR MILLARD SCHOOL BOARD (NR)|NOT A REGISTERED COMMITTEE|MILLARD|NE|68425|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||01/01/2008|P||
06CAC01000|ANDY MAHONEY FOR BELLEVUE CITY COUNCIL (NR)||COUNCIL BLUFFS|IA|00000|C|01/01/1900|01/01/1900|||||01/01/1900||||||||||11/07/2006|G||
09CAC01390|ANDY STEBBING FOR COUNTY TREASURER|6461 PARDUCI DRIVE|LINCOLN|NE|68526|C|11/16/2009|11/16/2009|I||||11/07/2009||||||||||05/11/2010|P||
11CAC01576|ANGELA HOGAN BOARD OF EDUCATION (NR)|NOT A REGISTERED COMMITTEE|Columbus|NE|68601|C|03/29/2011||||||12/31/9999|||||||||||||
99CAC00471|ANGELIKA T.L. BYORTH FOR STATE SENATOR|3027 PLYMOUTH AVE|LINCOLN|NE|68502|C|04/24/2000|04/24/2000|I||0|I|04/21/2000|||||||||11/17/2005|11/02/2004|G||1
