Committee Name|Committee Address|Committee Type|Committee City|Committee State|Committee Zip|Committee ID Number|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Election Date|Type of Filing|Nature of Filing|Additional Ballot Question|Report Start Date|Report End Date|Field 1|Field 2A|Field 2B|Field 2C|Field 3|Field 4A|Field 4B|Field 5|Field 6|Field 7A|Field 7B|Field 7C|Field 7D|Field 8A|Field 8B|Field 8C|Field 8D|Field 9|Field 10|Field 11|Field 12|Field 13|Field 14|Field 15|Field 16|Field 17|Field 18|Field 19|Field 20|Field 21|Field 22|Field 23|Field 23|Field 24|Field 25|Field 26|Field 27|Adjustment|Total Unitemized Bills|Total Unpaid Bills|Total All Bills
CITIZENS FOR NORTH PLATTE'S FUTURE|P O BOX 1269|B|NORTH PLATTE|NE|69103|99BQC00037|02/16/2007|nadc03|03/23/2000|03/23/2000||04/04/2000|P|10| |03/01/2000|03/20/2000|53150|0|1550|5000|0|0|6550|0|6550|0|0|0|0|0|0|0|0|6550|59700|0|0|17033|14115|0|14115|31148|36117|0|6550|42667|14115|28552|0|28552|0|28552||0|0|13899|1
CITIZENS FOR NORTH PLATTE'S FUTURE|P O BOX 1269|B|NORTH PLATTE|NE|69103|99BQC00037|02/16/2007|nadc03|05/08/2000|05/05/2000||04/04/2000|P|40| |03/21/2000|05/01/2000|59700|0|2600|650|0|0|3250|0|3250|0|1250|0|1250|0|0|0|0|4500|64200|0|0|31148|31802|1250|33052|64200|28552|0|3250|31802|31802|0|0|0|0|0||0|0|33282|2
BUILD IT OMAHA COMMITTEE|5122 NICHOLAS STREET|B|OMAHA|NE|68132|99BQC00038|02/16/2007|nadc03|02/01/2000|01/31/2000||05/09/2000|A||L|01/01/1999|12/31/1999|0|0|0|0|0|0|0|0|0|0|0|5000|5000|0|0|245000|245000|250000|250000|0|0|0|0|5000|5000|5000|0|0|0|0|0|0|0|0|0|0|||||3
BUILD IT OMAHA COMMITTEE|5122 NICHOLAS STREET|B|OMAHA|NE|68132|99BQC00038|02/16/2007|nadc03|03/06/2000|03/02/2000||05/09/2000|O|AS| |01/01/1999|12/31/1999|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|5000|4
BUILD IT OMAHA COMMITTEE|5122 NICHOLAS STREET|B|OMAHA|NE|68132|99BQC00038|02/16/2007|nadc03|04/11/2000|04/10/2000||05/09/2000|P|30| |01/01/2000|04/04/2000|250000|0|9388|260600|0|0|269988|0|269988|0|0|29993|29993|0|0|0|0|299981|549981|0|0|5000|198717.02|29993|228710.02|233710.02|0|75000|269988|344988|198717.02|146270.98|0|146270.98|0|146270.98||0|0|238357.97|5
BUILD IT OMAHA COMMITTEE|5122 NICHOLAS STREET|B|OMAHA|NE|68132|99BQC00038|02/16/2007|nadc03|05/03/2000|05/01/2000||05/09/2000|P|10| |04/05/2000|04/24/2000|544431|0|8900|91750|0|0|100650|0|100650|0|44118|0|44118|0|0|0|0|144768|689199|0|0|228160.02|224201.09|44118|268319.09|496479.11|146270.98|150000|100650|396920.98|224201.09|172719.89|0|172719.89|0|172719.89||0|0|284350.53|6
BUILD IT OMAHA COMMITTEE|5122 NICHOLAS STREET|B|OMAHA|NE|68132|99BQC00038|02/16/2007|nadc03|06/20/2000|06/19/2000||05/09/2000|P|40| |04/25/2000|06/13/2000|697004|0|21025|71025|0|0|92050|0|92050|0|0|6967|6967|0|0|0|0|99017|796021|0|0|494929.11|281260.51|6967|288227.51|783156.62|172719.89|15000|92050|279769.89|281260.51|-1490.62|2.03|-1488.59|0|-1488.59||0|0|299568.5|7
BUILD IT OMAHA COMMITTEE|5122 NICHOLAS STREET|B|OMAHA|NE|68132|99BQC00038|02/16/2007|nadc03|02/01/2001|01/31/2001|0      |05/09/2000|A|  | |06/20/2000|12/31/2000|0|0|0|0|0|2.03|2.03|0|2.03|0|0|0|0|0|0|0|0|2.03|2.03|0|0|0|3511.41|0|3511.41|3511.41|3511.41|0|2.03|3513.44|3511.41|2.03|0|2.03|0|2.03||0|0|0|8
NE STATE HOME BUILDERS ASSOCIATION ISSUES FUND|1327 H ST #307|B|LINCOLN|NE|68508|99BQC00039|02/16/2007|nadc03|01/31/2000|01/27/2000||05/04/2000|A||L|01/01/1999|12/31/1999|0|0|4475|0|0|0|4475|0|4475|0|0|0|0|0|0|0|0|4475|4475|0|0|0|1440|0|1440|1440|25192.65|0|4475|29667.65|1440|28227.65|0|28227.65|0|28227.65||0|0|1425|9
NE STATE HOME BUILDERS ASSOCIATION ISSUES FUND|1327 H ST #307|B|LINCOLN|NE|68508|99BQC00039|02/16/2007|nadc03|04/07/2000|04/05/2000||05/09/2000|P|30| |01/01/2000|04/04/2000|0|0|0|0|0|219.29|219.29|0|219.29|0|0|0|0|0|0|0|0|219.29|219.29|0|0|0|22|0|22|22|28227.65|0|219.29|28446.94|22|28424.94|0|28424.94|0|28424.94|||||10
