Committee Name|Form ID|Committee ID|Postmark Date|Date Received|Microfilm Number|Recipient Name|Recipient Address|Recipient City|Recipient State|Recipient Zip|Recipient Phone|Expenditure Date|Amount|Candidate ID|Candidate Support/Oppose|Ballot Question ID|Ballot Support/Oppose|Date Last Revised|Last Revised By|Candidate/Ballot Name
AGC PAC (HIGHWAY IMPROVEMENT PAC)|06CFL002176|99PAC00027|10/31/2006|10/31/2006|0|Wildberry Production, Miller Mailing, Augstums Printing||Lincoln|NE|68502||10/31/2006|3880.91|05FIS09994|S |||11/06/2006|nadc01|BILL   AVERY
AGC PAC (HIGHWAY IMPROVEMENT PAC)|08CFL003235|99PAC00027|10/29/2008|10/29/2008|7830244|ASAP Print Services|5012 Bunker HIll Road|Lincoln|NE|68521||10/27/2008|3755.87|08FIS11036|S |||11/04/2008|nadc01|KENNETH W HAAR
AGC PAC (HIGHWAY IMPROVEMENT PAC)|08CFL003236|99PAC00027|10/29/2008|10/29/2008|7830245|ASAP Print Services|5012 Bunker HIll Road|Lincoln|NE|68521|5012|10/27/2008|3714.25|99FIS09526|S |||11/04/2008|nadc01|LAVON L HEIDEMANN
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003185|08IRC00484|10/28/2008|10/28/2008|7830246|Clark Creative Group -Paul Eurek|514 S. 13th Street|omaha|NE|68102||10/27/2008|4995.7|07FIS10951|O |||11/04/2008|nadc01|PAUL  EUREK
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003186|08IRC00484|10/27/2008|10/28/2008|7830247|Mack Crounse Group - Ken Haar for Legislature|2001 N. Beauregard St. #420|Alexandria|VA|22311||10/24/2008|6065.25|08FIS11036|S |||11/04/2008|nadc01|KENNETH W HAAR
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003187|08IRC00484|10/27/2008|10/28/2008|7830248|Mack Crounse Group - Giese for Legislature|2001 N. Beauregard St. #420|Alexandria|VA|22311||10/24/2008|6062.53|07FIS10926|S |||11/04/2008|nadc01|ROBERT J GIESE
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003188|08IRC00484|10/27/2008|10/28/2008|7830249|Mack Crounse Group - Kopplin for Legislature|2001 N. Beauregard St. #420|alexandria|VA|22311||10/24/2008|6333.23|99FIS09559|S |||11/04/2008|nadc01|GAIL F KOPPLIN
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003189|08IRC00484|10/27/2008|10/28/2008|7830250|Mack Crounse Group - Lorenzen2008|2001 N. Beauregard St. #420|Alexandria|VA|22311||10/24/2008|6562.25|08FIS10973|S |||11/04/2008|nadc01|CARL A LORENZEN
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003190|08IRC00484|10/27/2008|10/28/2008|7840001|United Enterprise Co. - Lorenzen2008|10913 E Cir|Omaha|NE|68137||10/24/2008|1607.69|08FIS10973|S |||11/04/2008|nadc01|CARL A LORENZEN
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003191|08IRC00484|10/27/2008|10/28/2008||Mack Crounse Group - Rex Moats for Legislature|2001 N. Beauregard St. #420|Alexandria|VA|22311||10/24/2008|6622.33|07FIS10930|S |||10/29/2008|nadc01|REX  J MOATS
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003192|08IRC00484|10/27/2008|10/28/2008|7840003|Mack Crounse Group - Sullivan for Legislature|2001 N. Beauregard St. #$20|Alexandria|VA|22311||10/24/2008|6612.2|07FIS10940|S |||11/04/2008|nadc01|KATHLEEN A SULLIVAN
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003204|08IRC00484|10/29/2008|10/30/2008|7840004|Mack Crounse Group - Giese for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|5862.53|07FIS10926|S |||11/04/2008|nadc01|ROBERT J GIESE
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003205|08IRC00484|10/29/2008|10/30/2008|7840005|Mack Crounse Group - Giese for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|5542.53|07FIS10926|S |||11/04/2008|nadc01|ROBERT J GIESE
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003206|08IRC00484|10/29/2008|10/30/2008|7840006|Mack Crounse Group - Ken Haar for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|6065.25|08FIS11036|S |||11/04/2008|nadc01|KENNETH W HAAR
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003207|08IRC00484|10/29/2008|10/30/2008|7840007|Mack Crounse Group - Kopplin for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|5794.3|99FIS09559|S |||11/04/2008|nadc01|GAIL F KOPPLIN
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003208|08IRC00484|10/29/2008|10/30/2008|7840008|Mack Crounse Group - Kopplin for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|6333.23|99FIS09559|S |||11/04/2008|nadc01|GAIL F KOPPLIN
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003209|08IRC00484|10/29/2008|10/30/2008|7840009|Mack Crounse Group - Lorenzen 2008|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|6339.3|08FIS10973|S |||11/04/2008|nadc01|CARL A LORENZEN
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003210|08IRC00484|10/29/2008|10/30/2008|7840010|Mack Crounse Group - Rex Moats for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|6383.63|07FIS10930|S |||11/04/2008|nadc01|REX  J MOATS
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003211|08IRC00484|10/29/2008|10/30/2008|7840011|Mack Crounse Group - Sullivan for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311|2001|10/28/2008|6412.2|07FIS10940|S |||11/04/2008|nadc01|KATHLEEN A SULLIVAN
CAMPAIGN FOR NEBRASKAS FUTURE|08CFL003212|08IRC00484|10/29/2008|10/30/2008|7840012|Mack Crounse Group - Sullivan for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|5915.32|07FIS10940|S |||11/04/2008|nadc01|KATHLEEN A SULLIVAN
