Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description|unknownNumeric
DWITE PEDERSEN FOR PUBLIC OFFICE|99CAC00169|01/10/2005|11/20/2004|50|C|REBATE FROM HP ( PRIOR COMPUTOR PURCHASE|1073
DWITE PEDERSEN FOR PUBLIC OFFICE|99CAC00169|01/10/2005|11/12/2004|287.33|C|REIMBURSEMENT FOR TAIL LIGHT DAMAGE     |1073
COMMITTEE TO ELECT BEV PETERSON|99CAC00171|01/10/2001|11/06/2000|250|O|LATE FILING FEE                         |1087
CAROL MCBRIDE PIRSCH FOR DOUGLAS COUNTY BOARD|99CAC00175|01/31/2002|03/30/2001|1556|O|USPS PERMIT BALANCE REFUND              |1122
LINDA POOLE FOR MILLARD SCHOOL BOARD|99CAC00177|01/08/2002|12/31/2000|1645|C|RETURN OF CONTRIBUTIONS TO LINDA POOLE  |1130
PEOPLE FOR PREISTER|99CAC00178|01/16/2001|12/31/2000|250|C|RETURNED $250 FROM NE STATE AFL-CIO     |1218
FRIENDS OF DEB HOUGHTALING SARPY COUNTY CLERK|99CAC00186|01/04/2012|12/31/2011|-200|A|misc cash expenditures|11422
HUTCHINGS FOR COUNTY BOARD COMMITTEE|99CAC00187|12/23/2010|10/20/2010|63|A|Bank Service Fees|8401
NEBRASKANS FOR JON CHRISTENSEN COMMITTEE|99CAC00190|03/21/2000|03/15/2000|2368.11|O|PAYMENT MADE AFTER CLOSING BANK ACCOUNT |1252
NEBRASKANS FOR JON CHRISTENSEN COMMITTEE|99CAC00190|03/21/2000|01/01/1998|4490.25|O|RETURN DEPOSIT FOR PHONE                |1252
CONNEALY FOR LEGISLATURE|99CAC00191|01/29/2007|12/31/2006|79.18|O|voided alltel check|5293
CONNEALY FOR LEGISLATURE|99CAC00191|01/20/2000|12/31/1999|.53|C|FROM PREVIOUS STATEMENT                 |1253
DIERKS FOR LEGISLATURE (2002)|99CAC00195|06/24/2002|06/02/2002|21.98|C|INTEREST TRANSFERRED FROM CD            |1025
DIERKS FOR LEGISLATURE (2002)|99CAC00195|05/06/2002|04/25/2002|3500|C|TRANSFER CD TO CHECKING                 |1024
DIERKS FOR LEGISLATURE (2002)|99CAC00195|05/06/2002|04/25/2002|30.2|C|INTEREST TRANSFERRED FROM CD            |1024
DIERKS FOR LEGISLATURE (2002)|99CAC00195|05/06/2002|04/08/2002|36.99|C|INTEREST TRANSFERRED FROM CD            |1024
