Committee Name|Committee ID|Date Received|Date of Billing|Creditor Name|Creditor Address|Description|Amount Unpaid|Paid|Date Paid|Amount Paid|unknownNumeric
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|06/17/2003|05/30/2003|GOLDENROD PRINTING            |2701 STRATFORD AVE LINCOLN, NE|PRINTING AND ARTWORK|16692.63|0||0|279
YES FOR SMOKE FREE AIR COMMITTEE|99BQC00099|01/25/2005|10/20/2004|ILLINOIS PRINTING             |EVANSTON, ILLINOIS                                |CARDS                                             |10600||||255
JOHNSON FOR MAYOR|99CAC00002|03/08/1999|03/08/1999|SIGNS NOW                     |5571 S 48 LINCOLN NE 68516                        |ADVERTISING                                       |96.18||||260
JOHNSON FOR MAYOR|99CAC00002|03/08/1999|02/15/1999|ALIANT COMM.                  |1440 M ST LINCOLN NE 68508                        |PHONE SERVICES                                    |274.02||||260
JOHNSON FOR MAYOR|99CAC00002|03/29/1999|03/01/1999|SIGNS NOW                     |                                                  |SIGNS                                             |1263.68||||261
JOHNSON FOR MAYOR|99CAC00002|03/29/1999|03/01/1999|ALIANT                        |                                                  |PHONE                                             |589.68||||261
JOHNSON FOR MAYOR|99CAC00002|04/26/1999|04/15/1999|DESIGN 4, INC                 |8938 L OMAHA NE 68127                             |YARD SIGNS                                        |1113||||262
JOHNSON FOR MAYOR|99CAC00002|04/26/1999|04/01/1999|LINCOLN ELECTRIC SYSTEM       |1040 O LINCOLN NE                                 |UTILITIES                                         |68.52||||262
JOHNSON FOR MAYOR|99CAC00002|04/26/1999|04/01/1999|ALIANT COMMUNICATIONS         |1440 M ST LINCOLN NE                              |PHONE SERVICES                                    |912.03||||262
JOHNSON FOR MAYOR|99CAC00002|04/26/1999|04/16/1999|ASAP PRINTING                 |2911 N 50TH ST LINCOLN NE                         |PRINTING & MAILING SVCS                           |16947.63||||262
JOHNSON FOR MAYOR|99CAC00002|04/26/1999|04/15/1999|CAPITOL IMAGES                |1021 MICHELLE CT LINCOLN NE                       |PHOTOGRAPHY LABOR & FILM                          |217.3||||262
JOHNSON FOR MAYOR|99CAC00002|04/26/1999|04/13/1999|SCPG                          |1135 M ST LINCOLN NE                              |CONSULTING                                        |5031.97||||262
JOHNSON FOR MAYOR|99CAC00002|04/26/1999|04/19/1999|FROSTY,S                      |134 N 14TH ST LINCOLN NE                          |LABELS                                            |304.77||||262
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|03/05/1999|03/01/1999|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE                                  |5204.77|1|03/11/1999||268
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|02/01/2005|04/18/2003|GOLDENROD PRINTING            |2701 STRATFORD AVE LINCOLN, NE|PRINTING AND ARTWORK|0|1|05/11/2004|3974.56|280
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|02/01/2005|05/30/2003|GOLDENROD PRINTING            |2701 STRATFORD AVE LINCOLN, NE|PRINTING AND ARTWORK|0||05/11/2004|12492.63|280
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|04/26/1999|03/22/1999|JONATHAN COOK FOR CITY COUNCIL|                                                  |SIGNS                                             |1105|1|06/14/1999||270
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|04/24/2007|05/30/2003|GOLDENROD PRINTING            |2701 STRATFORD AVE LINCOLN, NE|PRINTING AND ARTWORK|0|1|04/03/2007|4200|5477
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|02/01/2000|10/01/1999|GOLDENROD PRINTING            |329 SOUTH 11TH STREET                             |PRINTING/POSTAGE                                  |17000|1|01/06/2000||272
BARBARA BAIER FOR SCHOOL BOARD|99CAC00718|04/27/2009|03/15/2009|GOLDENROD PRINTING|2801 CORNHUSKER HWY, LINCOLN, NE|KICK OFF ANNOUNCEMENT, HANDOUTS|0|1|04/18/2009|1170.38|4396
MAXWELL FOR CITY COUNCIL|09CAC01336|05/04/2009|04/02/2009|CHIP MAXWELL |3835 CALIFORNIA STREET OMAHA,NE 68131|POSTAL SERVICE- POSTAGE|301.01|||0|4404
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|03/05/1999|02/10/1999|LARSEN, LILLIE                |                                                  |ADVERTISING                                       |1775||||316
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|03/05/1999|02/11/1999|LARSEN, LILLIE                |                                                  |VOTER LIST                                        |150||||316
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|03/26/1999|02/11/1999|LARSEN, LILLIE                |                                                  |REIMBURSEMENT                                     |150||||317
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|03/26/1999|02/10/1999|LARSEN, LILLIE                |                                                  |REIMBURSEMENT                                     |1775||||317
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|03/26/1999|03/10/1999|GOLDENROD PRINTING            |                                                  |PRINTING                                          |2901.51||||317
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|04/22/1999|03/24/1999|GOLDENROD PRINTING            |                                                  |PRINTING & MAILING                                |1013.36||||318
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|04/22/1999|03/25/1999|GOLDENROD PRINTING            |                                                  |PRINTING & MAILING                                |898.18||||318
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|06/14/1999|06/05/1999|GOLDENROD PRINTING            |                                                  |PRINTING & MAILING SERVICES                       |4569.78||||319
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|06/14/1999|02/11/1999|LILLIE LARSEN                 |641 HAVERFORD CIRCLE                              |TO REIMBURSE VOTER LIST & HISTORY, D6             |150||||319
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|06/14/1999|02/10/1999|LILLIE LARSEN                 |P.O. BOX 66338  BATON ROUGE, LA                   |TO REIMBURSE ADV. FROM LAMAR ADV.                 |1775||||319
CITIZENS FOR WESELY|99CAC00006|06/15/1999|04/21/1999|ENVOY PRODUCTIONS             |6910 PACIFIC ST., STE. 102                        |MEDIA PRODUCTION                                  |7729.83||||331
CITIZENS FOR WESELY|99CAC00006|06/15/1999|06/01/1999|GOLDENROD PRINTING            |329 S. 11TH ST.                                   |INVITATIONS & POSTAGE                             |1060||||331
CITIZENS FOR WESELY|99CAC00006|06/15/1999|06/05/1999|MARKER'S INC.                 |4140 S. 52ND ST.                                  |CAMPAIGN MATERIAL LAYOUT & DESIGN                 |3000||||331
CITIZENS FOR WESELY|99CAC00006|06/15/1999|05/15/1999|NE DEMOCRATIC PARTY           |985 S. 27TH ST.                                   |COORDINATED CAMPAIGN                              |3000||||331
CITIZENS FOR WESELY|99CAC00006|01/30/2001|03/23/2000|AVENEL ASSOCIATES             |1850 M STREET NW SUITE 840                        |CONSULTING SERVICES                               |7500||||332
CITIZENS FOR WESELY|99CAC00006|01/31/2002|03/23/2000|AVENEL ASSOC                  |1850 M ST NW 840                                  |CONSULTING                                        |7672.21||||333
CITIZENS FOR WESELY|99CAC00006|01/31/2002|12/11/2001|GOLDENROD PRINTING            |2801 CORNHUSKER                                   |PRINTING/CONSULTING                               |1997.93||||333
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|03/23/2009|MERIDIAN CENTRAL PUBLIC AFFAIR|2937 S 120TH ST OMAHA, NE 68144|RETAINER|7000|0||0|4945
