Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee ID|Date Received|Date Last Revised|Last Revised By|Postmark Date|Microfilm Number|Election Date|Type of Filing|Nature Of Filing|Report Start Date|Report End Date|Financial Activity
NE DEMOCRATIC WOMENS CAUCUS|1327 H STREET, SUITE 200|LINCOLN|NE|68508|10PPC00067|10/25/2010|11/04/2010|nadc06|10/25/2010|8300048|11/02/2010|G|10|09/29/2010|10/18/2010|1
NE DEMOCRATIC WOMENS CAUCUS|1327 H STREET, SUITE 200|LINCOLN|NE|68508|10PPC00067|03/07/2011|03/08/2011|nadc06|03/07/2011||04/05/2011|P|30|01/01/2011|03/01/2011|1
NE DEMOCRATIC WOMENS CAUCUS|1327 H STREET, SUITE 200|LINCOLN|NE|68508|10PPC00067|04/25/2011|05/02/2011|nadc01|04/25/2011|8460213|05/03/2011|G|10|03/22/2011|04/18/2011|1
NE DEMOCRATIC WOMENS CAUCUS|1327 H STREET, SUITE 200|LINCOLN|NE|68508|10PPC00067|10/04/2010|10/12/2010|nadc06|10/04/2010|8280118|11/02/2010|G|30|06/16/2010|09/28/2010|1
NE DEMOCRATIC WOMENS CAUCUS|1327 H STREET, SUITE 200|LINCOLN|NE|68508|10PPC00067|03/28/2011|04/08/2011|nadc01|03/28/2011|8440220|04/05/2011|P|10|03/02/2011|03/21/2011|1
NE DEMOCRATIC WOMENS CAUCUS|1327 H STREET, SUITE 200|LINCOLN|NE|68508|10PPC00067|01/11/2011|01/27/2011|nadc06|01/11/2011|8330140|11/02/2010|G|70|10/19/2010|12/31/2010|
NE DEMOCRATIC WOMENS CAUCUS|1327 H STREET, SUITE 200|LINCOLN|NE|68508|10PPC00067|06/13/2011|06/20/2011|nadc01|06/13/2011|8480035|05/03/2011|G|70|04/19/2011|06/07/2011|1
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|01/11/2005|03/24/2005|nadc05|01/11/2005|6900090|11/02/2004|G|70|01/01/2004|12/31/2004|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|04/07/2005|04/14/2005|nadc06|04/07/2005|7020069|04/05/2005|P|10|03/02/2005|03/21/2005|1
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|05/02/2005|05/09/2005|nadc06|05/02/2005|7040016|05/10/2005|G|10|03/22/2005|04/25/2005|1
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|06/13/2005|06/13/2005|nadc05|06/10/2005||05/03/2005|G|40|04/19/2005|06/07/2005|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|06/16/2005|06/20/2005|nadc01|06/15/2005|7060105|05/10/2005|G|70|04/26/2005|06/14/2005|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|03/11/2005|03/14/2005|nadc06|03/11/2005|6950157|04/05/2005|P|30|01/01/2005|03/01/2005|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|01/31/2006|02/03/2006|nadc06|01/30/2006||12/31/2005|A||06/15/2005|12/31/2005|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|02/12/2007|06/29/2010|nadc01|02/12/2007|7450249|11/07/2006|A||01/01/2006|12/31/2006|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|03/05/2007|03/05/2007|nadc01|03/02/2007||04/03/2007|P|30|01/01/2007|02/27/2007|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|03/26/2007|03/26/2007|nadc04|03/24/2007||04/03/2007|P|10|02/28/2007|03/19/2007|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|01/31/2011|02/15/2011|nadc05|01/31/2011|8350198|12/31/2010|A||01/01/2010|01/31/2011|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|02/01/2012|02/08/2012|nadc06|01/30/2012|8530196|01/01/2011|A||02/01/2011|12/31/2011|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|02/01/2008|03/05/2008|nadc05|01/29/2008|7640014|12/31/2007|A||03/20/2007|12/31/2007|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|01/26/2010|01/26/2010|nadc06|01/26/2010||01/01/2009|A||01/01/2009|12/31/2009|
NEBRASKA YOUNG DEMOCRATS|1327 H STREET, #200|LINCOLN|NE|68508|99PPC00057|01/26/2009|02/06/2009|nadc06|01/26/2009|7880115|01/01/2008|A||01/01/2008|12/31/2008|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/24/2000|01/25/2000|KIMH      |01/21/2000||11/03/1998|A||04/08/1998|12/31/1999|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|02/02/2000|02/07/2000|KIMH      |02/02/2000||05/09/2000|O|AS|01/01/1999|12/31/1999|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/06/2000|10/02/2000|SERENAD   |04/06/2000||05/09/2000|P|30|||0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/27/2000|04/27/2000|KIMH      |04/26/2000||05/09/2000|P|10|04/05/2000|04/24/2000|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|06/21/2000|10/02/2000|SERENAD   |06/21/2000||05/09/2000|P|40|04/25/2000|06/13/2000|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|10/05/2000|10/17/2000|KAREN     |10/04/2000|5980057|11/07/2000|G|30|06/14/2000|10/03/2000|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|10/30/2000|12/27/2000|KAREN     |10/27/2000|6000041|11/07/2000|G|10|10/03/2000|10/23/2000|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/16/2001|08/13/2001|DAVIDH    |01/12/2001|6030172|11/07/2000|G|70|10/30/2000|12/31/2000|0
