Committee ID|Date Received|Committee ID Expenditure is For|Support/Oppose|Nature of Expenditure|Expenditure Date|Amount|Description|Line ID|Committee Name Expenditure is For
99PPC00024|11/23/2000|99CAC00286|0|I|10/01/2000|46.88||014|FRIENDS OF DREW MILLER
99PPC00024|11/23/2000|99CAC00255|0|K|10/20/2000|5||022|DUDA FOR COUNTY BOARD
99PPC00024|11/23/2000|99CAC00255|0|I|10/01/2000|46.88||026|DUDA FOR COUNTY BOARD
99PPC00024|11/23/2000|99CAC00169|0|I|10/01/2000|46.88||016|DWITE PEDERSEN FOR PUBLIC OFFICE
99PPC00024|11/23/2000|99CAC00408|0|I|10/01/2000|46.9||006|FERLIC FOR REGENT
99PPC00024|11/23/2000|99CAC00267|0|I|10/01/2000|46.88||027|GROESSER FOR MAYOR
99PPC00024|11/23/2000|99CAC00177|0|I|10/01/2000|46.88||017|LINDA POOLE FOR MILLARD SCHOOL BOARD
99PPC00024|11/23/2000|99CAC00324|0|K|10/20/2000|5||025|LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION
99PPC00024|11/23/2000|99CAC00324|0|I|10/01/2000|46.88||028|LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION
99PPC00024|11/23/2000|99CAC00494|0|I|10/01/2000|46.88||021|LYNDA THORPE FOR METRO COMMUNITY COLLEGE
99PPC00024|11/23/2000|99CAC00503|0|K|10/20/2000|5||024|MARBLE FOR METRO BOARD
99PPC00024|11/23/2000|99CAC00503|0|I|10/01/2000|46.88||029|MARBLE FOR METRO BOARD
99PPC00024|11/23/2000|99CAC00154|0|I|10/01/2000|46.88||030|MIKE CAVANAUGH FOR O.P.P.D.
99PPC00024|11/23/2000|99CAC00156|0|I|10/01/2000|46.88||015|PATE FOR MILLARD SCHOOL BOARD
99PPC00024|11/23/2000|99CAC00443|0|I|10/04/2000|46.9||001|PRATT FOR M.U.D.
99PPC00024|11/23/2000|99CAC00384|0|I|10/01/2000|46.88||018|QUANDAHL FOR LEGISLATURE
99PPC00024|11/23/2000|99CAC00332|0|I|10/01/2000|46.88||019|ROSEMARY SKRUPA FOR REGENT
99PPC00024|11/23/2000|99CAC00322|0|I|10/01/2000|46.88||011|SANDRA KOSTOS JENSEN FOR SCHOOL BOARD (DONT USE)
99PPC00024|11/23/2000|99CAC00432|0|K|10/20/2000|5||023|SCOTT KNUDSEN FOR STATE LEGISLATURE
99PPC00024|11/23/2000|99CAC00432|0|I|10/01/2000|46.88||031|SCOTT KNUDSEN FOR STATE LEGISLATURE
99PPC00024|11/23/2000|99CAC00335|0|I|10/01/2000|46.88||020|TAKECHI FOR REGISTER OF DEEDS
99PPC00024|01/30/2001|99CAC00505|0|I|12/01/2000|150.54||002|BAUER FOR EDUCATION
99PPC00024|01/30/2001|99CAC00468|0|I|12/01/2000|150.54||003|BRESLOW FOR REGENT COMMITTEE
99PPC00024|01/30/2001|99CAC00318|0|I|12/01/2000|150.52||010|CAROL HUDKINS LEGISLATURE COMMITTEE
99PPC00024|01/30/2001|99CAC00175|0|I|12/01/2000|150.52||015|CAROL MCBRIDE PIRSCH FOR DOUGLAS COUNTY BOARD
99PPC00024|01/30/2001|99CAC00525|0|I|12/01/2000|150.52||008|DAVID FRIEND FOR MUD
99PPC00024|01/30/2001|99CAC00476|0|I|12/01/2000|150.54||005|DAVIS FOR EDUCATION
99PPC00024|01/30/2001|99CAC00286|0|I|12/01/2000|150.52||016|FRIENDS OF DREW MILLER
99PPC00024|01/30/2001|99CAC00255|0|I|12/01/2000|150.54||006|DUDA FOR COUNTY BOARD
99PPC00024|01/30/2001|99CAC00169|0|I|12/01/2000|150.52||018|DWITE PEDERSEN FOR PUBLIC OFFICE
99PPC00024|01/30/2001|99CAC00408|0|I|12/01/2000|150.54||007|FERLIC FOR REGENT
99PPC00024|01/30/2001|99CAC00267|0|I|12/01/2000|150.52||009|GROESSER FOR MAYOR
99PPC00024|01/30/2001|99CAC00177|0|I|12/01/2000|150.52||019|LINDA POOLE FOR MILLARD SCHOOL BOARD
99PPC00024|01/30/2001|99CAC00324|0|I|12/01/2000|150.52||011|LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION
99PPC00024|01/30/2001|99CAC00494|0|I|12/01/2000|150.52||023|LYNDA THORPE FOR METRO COMMUNITY COLLEGE
99PPC00024|01/30/2001|99CAC00503|0|I|12/01/2000|150.52||014|MARBLE FOR METRO BOARD
99PPC00024|01/30/2001|99CAC00154|0|I|12/01/2000|150.54||004|MIKE CAVANAUGH FOR O.P.P.D.
99PPC00024|01/30/2001|99CAC00156|0|I|12/01/2000|150.52||017|PATE FOR MILLARD SCHOOL BOARD
99PPC00024|01/30/2001|99CAC00443|0|I|12/01/2000|150.54||001|PRATT FOR M.U.D.
99PPC00024|01/30/2001|99CAC00384|0|I|12/01/2000|150.52||020|QUANDAHL FOR LEGISLATURE
99PPC00024|01/30/2001|99CAC00332|0|I|12/01/2000|150.52||021|ROSEMARY SKRUPA FOR REGENT
99PPC00024|01/30/2001|99CAC00322|0|I|12/01/2000|150.52||013|SANDRA KOSTOS JENSEN FOR SCHOOL BOARD (DONT USE)
99PPC00024|01/30/2001|99CAC00432|0|I|12/01/2000|150.52||012|SCOTT KNUDSEN FOR STATE LEGISLATURE
99PPC00024|01/30/2001|99CAC00335|0|I|12/01/2000|150.52||022|TAKECHI FOR REGISTER OF DEEDS
99PPC00024|03/27/2001|99CAC00544|0|I|03/11/2001|12.5||008|COMMITTEE TO ELECT JIM VOKAL
99PPC00024|03/27/2001|99CAC00544|0|I|03/13/2001|12.5||017|COMMITTEE TO ELECT JIM VOKAL
99PPC00024|03/27/2001|99CAC00544|0|I|03/20/2001|3.12||026|COMMITTEE TO ELECT JIM VOKAL
99PPC00024|03/27/2001|99CAC00548|0|K|03/01/2001|5||003|DAN WELCH FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00548|0|I|03/11/2001|12.5||009|DAN WELCH FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00548|0|I|03/11/2001|12.5||018|DAN WELCH FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00548|0|I|03/13/2001|3.12||027|DAN WELCH FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00526|0|K|03/01/2001|5||004|FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE
99PPC00024|03/27/2001|99CAC00526|0|I|03/11/2001|12.5||013|FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE
99PPC00024|03/27/2001|99CAC00526|0|I|03/13/2001|12.5||022|FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE
99PPC00024|03/27/2001|99CAC00526|0|I|03/20/2001|3.12||031|FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE
99PPC00024|03/27/2001|99CAC00251|0|K|03/01/2001|2719.1||005|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
99PPC00024|03/27/2001|99CAC00251|0|I|03/11/2001|12.5||006|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
99PPC00024|03/27/2001|99CAC00251|0|I|03/13/2001|12.5||015|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
99PPC00024|03/27/2001|99CAC00251|0|I|03/20/2001|3.12||024|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
99PPC00024|03/27/2001|99CAC00406|0|I|03/13/2001|12.5||020|CLIFF HERD FOR CITY COUNCIL DISTRICT 6
99PPC00024|03/27/2001|99CAC00406|0|I|03/13/2001|3.12||029|CLIFF HERD FOR CITY COUNCIL DISTRICT 6
99PPC00024|03/27/2001|99CAC00406|0|K|03/01/2001|5||002|CLIFF HERD FOR CITY COUNCIL DISTRICT 6
99PPC00024|03/27/2001|99CAC00406|0|I|03/11/2001|12.5||011|CLIFF HERD FOR CITY COUNCIL DISTRICT 6
99PPC00024|03/27/2001|99CAC00278|0|I|03/11/2001|12.5||007|LORMONG LO COMMITTEE
99PPC00024|03/27/2001|99CAC00278|0|I|03/13/2001|12.5||016|LORMONG LO COMMITTEE
99PPC00024|03/27/2001|99CAC00278|0|I|03/20/2001|3.12||025|LORMONG LO COMMITTEE
99PPC00024|03/27/2001|99CAC00543|0|K|03/01/2001|5||001|MAGID FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00543|0|I|03/11/2001|12.5||010|MAGID FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00543|0|I|03/11/2001|12.5||019|MAGID FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00543|0|I|03/13/2001|3.12||028|MAGID FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00547|0|I|03/11/2001|12.5||014|THE COMMITTEE TO ELECT CHUCK SIGERSON
99PPC00024|03/27/2001|99CAC00547|0|I|03/13/2001|12.5||023|THE COMMITTEE TO ELECT CHUCK SIGERSON
99PPC00024|03/27/2001|99CAC00547|0|I|03/20/2001|3.12||032|THE COMMITTEE TO ELECT CHUCK SIGERSON
99PPC00024|03/27/2001|99CAC00455|0|I|03/11/2001|12.5||012|WINSTROM FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00455|0|I|03/13/2001|12.5||021|WINSTROM FOR CITY COUNCIL
99PPC00024|03/27/2001|99CAC00455|0|I|03/20/2001|3.12||030|WINSTROM FOR CITY COUNCIL
99PPC00024|05/08/2001|99CAC00548|0|K|04/01/2001|5||   |DAN WELCH FOR CITY COUNCIL
99PPC00024|05/08/2001|99CAC00526|0|I|03/27/2001|140||   |FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE
99PPC00024|05/08/2001|99CAC00526|0|K|04/01/2001|5||001|FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE
99PPC00024|05/08/2001|99CAC00547|0|I|03/30/2001|40||   |THE COMMITTEE TO ELECT CHUCK SIGERSON
99PPC00024|05/08/2001|99CAC00455|0|I|03/20/2001|50||   |WINSTROM FOR CITY COUNCIL
99PPC00024|06/26/2001|99CAC00547|0|I|06/04/2001|66.85||009|THE COMMITTEE TO ELECT CHUCK SIGERSON
99PPC00024|06/26/2001|99CAC00455|0|I|05/11/2001|332.81||   |WINSTROM FOR CITY COUNCIL
99PPC00024|06/26/2001|99CAC00455|0|I|06/04/2001|66.85||007|WINSTROM FOR CITY COUNCIL
99PPC00024|06/26/2001|99CAC00544|0|I|05/11/2001|332.81||   |COMMITTEE TO ELECT JIM VOKAL
99PPC00024|06/26/2001|99CAC00544|0|I|06/04/2001|66.85||005|COMMITTEE TO ELECT JIM VOKAL
99PPC00024|06/26/2001|99CAC00548|0|K|05/05/2001|5||   |DAN WELCH FOR CITY COUNCIL
99PPC00024|06/26/2001|99CAC00548|0|I|05/11/2001|332.81||001|DAN WELCH FOR CITY COUNCIL
