Committee Name|Committee Address|Committee Type|Committee City|Committee State|Committee Zip|Committee ID|Date Recevied|Date Last Revised|Last Revised By|Postmark Date|Microfilm Number|Election Date|Type of Filing|Nature of Filing|Report Start Date|Report End Date|Nature of Committee|Field 1|Field 2A|Field 2B|Field 2C|Field 2D|Field 3|Field 4|Field 5|Field 6|Field 7|Field 8|Field 9|Field 10|Field 11A|Field 11B|Field 11C|Field 11D|Field 12|Field 13|Field 14|Field 15|Field 16|Field 17|Field 18|Field 19|Field 20|Field 21|Field 22|Field 23|Field 24|Field 25|Field 26|Description
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|03/05/2001|03/20/2003|JIMS    |03/03/2001|6070135|04/03/2001|P|30|01/01/2001|02/27/2001||0|30|0|5.53|35.53|0|0|35.53|0|0|35.53|35.53|0|600|0|0|600|0|600|0|0|600|600|3417.17|0|35.53|3452.7|600|2852.7|0|2852.7|0|
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|03/27/2001|03/20/2003|JIMS    |03/26/2001|6130092|04/03/2001|P|10|02/28/2001|03/19/2001||35.53|0|0|0|0|0|0|0|0|0|0|35.53|600|1000|0|0|1000|0|1000|0|0|1000|1600|2852.7|0|0|2852.7|1000|1852.7|0|0|1852.7|
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|04/24/2001|03/20/2003|JIMS    |04/23/2001|6160239|05/01/2001|G|10|03/20/2001|04/16/2001||35.53|50|0|6.34|56.34|0|0|56.34|0|0|56.34|91.87|1600|0|0|0|0|0|0|0|0|0|1600|1852.7|0|56.34|1909.04|0|1909.04|0|0|1909.04|
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|06/12/2001|06/18/2001|PATTIEV |06/11/2001|6190224|05/01/2001|G|70|04/17/2001|06/05/2001||91.87|9050|0|2.21|9052.21|0|0|9052.21|0|0|9052.21|9144.08|1600|10500|0|0|10500|0|10500|0|0|10500|12100|1909.04|0|9052.21|10961.25|10500|461.25|0|0|461.25|
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|01/03/2002|01/07/2002|TERII   |01/02/2002|6230034|01/01/2000|A||06/06/2001|12/31/2001||0|1870.65|0|2.24|1872.89|0|0|1872.89|0|0|1872.89|1872.89|0|1610|0|0|1610|0|1610|0|0|1610|1610|461.25|0|1872.89|2334.14|1610|724.14|0|0|724.14|
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|04/16/2002|01/29/2003|JIMS    |04/15/2002|6380182|05/14/2002|P|30|01/01/2002|04/09/2002||0|80|0|.15|80.15|0|0|80.15|0|0|80.15|80.15|0|750|0|0|750|0|750|0|0|750|750|724.14|0|80.15|804.29|750|54.29|0|0|54.29|
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|05/07/2002|05/13/2002|TERII   |05/06/2002|6400094|05/14/2002|P|10|04/10/2002|04/29/2002||80.15|250|0|0|250|0|0|250|0|0|250|330.15|750|250|0|0|250|0|250|0|0|250|1000|54.29|0|250|304.29|250|54.29|0|0|54.29|
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|06/25/2002|06/28/2002|TERII   |06/24/2002|6420105|05/14/2002|P|40|04/30/2002|06/18/2002||330.15|316.64|0|.01|316.65|0|0|316.65|0|0|316.65|646.8|1000|0|0|0|0|0|0|0|0|0|1000|54.29|0|316.65|370.94|0|370.94|0|0|370.94|
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|10/08/2002|10/15/2002|TERII   |10/07/2002|6440241|11/05/2002|G|30|06/19/2002|10/01/2002||646.8|1195|0|.18|1195.18|0|0|1195.18|0|0|1195.18|1841.98|1000|1500|0|0|1500|0|1500|0|0|1500|2500|370.94|0|1195.18|1566.12|1500|66.12|0|0|66.12|
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|620 N 48TH, STE 205|S|LINCOLN|NE|68504|99PAC00007|10/29/2002|11/08/2002|JIMS    |10/28/2002|6460143|11/05/2002|G|10|10/02/2002|10/21/2002||1841.98|0|0|0|0|0|0|0|0|0|0|1841.98|2500|0|0|0|0|0|0|0|0|0|2500|66.12|0|0|66.12|0|66.12|0|0|66.12|
