Form ID Number|Committee ID|Date Received|Committee Expenditure ID|Support/Oppose|Nature of Expenditure|Expenditure Date|Amount|Expense Category|Expenditure Committee Name
127|99PAC00016|01/24/2000|99CAC00276|0|D|11/16/1999|1000|026|KRISTENSEN FOR LEGISLATURE
128|99PAC00016|01/24/2000|99CAC00284|0|D|11/16/1999|500|026|MATZKE FOR LEGISLATURE
129|99PAC00016|01/24/2000|99CAC00178|0|D|10/20/1999|600|026|PEOPLE FOR PREISTER
130|99PAC00016|01/24/2000|99CAC00384|0|D|10/15/1999|1000|026|QUANDAHL FOR LEGISLATURE
131|99PAC00016|01/24/2000|99CAC00384|0|D|02/25/1999|100|026|QUANDAHL FOR LEGISLATURE
132|99PAC00016|01/24/2000|99CAC00321|0|D|11/16/1999|500|026|RAMON JANSSEN FOR STATE LEGISLATURE
133|99PAC00016|01/24/2000|99CAC00090|0|D|05/04/1999|100|026|ROBAK FOR LEGISLATURE
134|99PAC00016|01/24/2000|99CAC00086|0|D|10/20/1999|200|026|RAIKES FOR LEGISLATURE
135|99PAC00016|01/24/2000|99CAC00327|0|D|10/20/1999|500|026|SCHIMEK FOR LEGISLATURE
136|99PAC00016|01/24/2000|99CAC00274|0|D|03/15/1999|100|026|SHELLEY KIEL FOR LEGISLATURE
137|99PAC00016|01/24/2000|99CAC00315|0|D|03/30/1999|100|026|SOUTH OMAHANS FOR HILGERT
138|99PAC00016|01/24/2000|99CAC00117|0|D|10/20/1999|600|026|THOMPSON FOR LEGISLATURE
139|99PAC00016|01/24/2000|99CAC00340|0|D|11/16/1999|500|026|TYSON FOR LEGISLATURE
140|99PAC00016|04/06/2000|99CAC00407|0|D|03/10/2000|100|026|BOB DICKEY FOR LEGISLATURE
141|99PAC00016|04/06/2000|99CAC00448|0|D|03/31/2000|50|026|DOUG CUNNINGHAM FOR LEGISLATURE
142|99PAC00016|04/06/2000|99CAC00107|0|D|03/21/2000|100|026|ED SCHROCK FOR LEGISLATURE
143|99PAC00016|04/06/2000|99CAC00304|0|D|03/23/2000|100|026|FRIENDS OF FLOYD VRTISKA
144|99PAC00016|04/06/2000|99CAC00273|0|D|03/15/2000|100|026|JONES FOR LEGISLATURE
145|99PAC00016|04/06/2000|99CAC00178|0|D|01/03/2000|100|026|PEOPLE FOR PREISTER
146|99PAC00016|04/06/2000|99CAC00384|0|D|03/14/2000|100|026|QUANDAHL FOR LEGISLATURE
147|99PAC00016|04/06/2000|99CAC00315|0|D|04/03/2000|100|026|SOUTH OMAHANS FOR HILGERT
148|99PAC00016|04/06/2000|99CAC00085|0|D|02/14/2000|100|026|THE PRICE IS RIGHT FOR LEGISLATURE
149|99PAC00016|04/26/2000|99CAC00327|0|D|04/19/2000|25|026|SCHIMEK FOR LEGISLATURE
150|99PAC00016|10/10/2000|99CAC00407|0|D|08/24/2000|500|026|BOB DICKEY FOR LEGISLATURE
151|99PAC00016|10/10/2000|99CAC00407|0|D|09/12/2000|100|026|BOB DICKEY FOR LEGISLATURE
152|99PAC00016|10/10/2000|99CAC00448|0|D|08/24/2000|500|026|DOUG CUNNINGHAM FOR LEGISLATURE
153|99PAC00016|10/10/2000|99CAC00304|0|D|08/24/2000|500|026|FRIENDS OF FLOYD VRTISKA
154|99PAC00016|10/10/2000|99CAC00413|0|D|08/24/2000|500|026|HEWITT FOR LEGISLATURE
155|99PAC00016|10/10/2000|99CAC00273|0|D|08/24/2000|1100|026|JONES FOR LEGISLATURE
156|99PAC00016|10/10/2000|99CAC00276|0|D|08/24/2000|500|026|KRISTENSEN FOR LEGISLATURE
157|99PAC00016|10/10/2000|99CAC00284|0|D|08/24/2000|1000|026|MATZKE FOR LEGISLATURE
158|99PAC00016|10/10/2000|99PPC00002|0|D|07/14/2000|200|028|NE REPUBLICAN PARTY
159|99PAC00016|10/10/2000|99CAC00178|0|D|08/24/2000|500|026|PEOPLE FOR PREISTER
160|99PAC00016|10/10/2000|99CAC00327|0|D|08/24/2000|50|026|SCHIMEK FOR LEGISLATURE
161|99PAC00016|10/10/2000|99CAC00486|0|D|08/24/2000|500|026|TRIMBLE FOR LEGISLATURE
162|99PAC00016|10/30/2000|99CAC00438|0|D|10/04/2000|500|026|MAXWELL FOR LEGISLATURE (NOW DOUGLAS COUNTY BOARD)
163|99PAC00016|10/30/2000|99CAC00117|0|D|10/04/2000|100|026|THOMPSON FOR LEGISLATURE
164|99PAC00016|01/25/2001|99CAC00029|0|D|12/08/2000|100|026|BEUTLER FOR LEGISLATURE 
165|99PAC00016|01/25/2001|99CAC00430|0|D|12/08/2000|100|026|KRUSE FOR LEGISLATURE
166|99PAC00016|01/25/2002|99CAC00117|0|D|10/15/2001|100|026|THOMPSON FOR LEGISLATURE
167|99PAC00016|01/25/2002|99CAC00117|0|D|01/23/2001|500|026|THOMPSON FOR LEGISLATURE
168|99PAC00016|01/25/2002|99CAC00025|0|D|05/20/2001|100|026|BAKER FOR LEGISLATURE
169|99PAC00016|01/25/2002|99CAC00152|0|D|01/23/2001|250|026|BRUNING FOR LEGISLATURE
170|99PAC00016|01/25/2002|99CAC00040|0|D|09/27/2001|100|026|DENNIS BYARS FOR LEGISLATURE
171|99PAC00016|01/25/2002|99CAC00448|0|D|01/23/2001|100|026|DOUG CUNNINGHAM FOR LEGISLATURE
172|99PAC00016|01/25/2002|99CAC00448|0|D|10/29/2001|100|026|DOUG CUNNINGHAM FOR LEGISLATURE
173|99PAC00016|01/25/2002|99CAC00169|0|D|04/27/2001|100|026|DWITE PEDERSEN FOR PUBLIC OFFICE
174|99PAC00016|01/25/2002|99CAC00429|0|D|01/04/2001|250|026|ERDMAN FOR LEGISLATURE
175|99PAC00016|01/25/2002|99CAC00205|0|D|10/15/2001|100|026|JIM JENSEN FOR LEGISLATURE
176|99PAC00016|01/25/2002|99CAC00226|0|D|05/20/2001|100|026|KREMER FOR LEGISLATURE
177|99PAC00016|01/25/2002|99CAC00276|0|D|10/26/2001|100|026|KRISTENSEN FOR LEGISLATURE
178|99PAC00016|01/25/2002|99PPC00031|0|D|04/04/2001|500|026|LANCASTER COUNTY REPUBLICAN PARTY
179|99PAC00016|01/25/2002|99CAC00502|0|D|10/18/2001|100|026|MCDONALD FOR LEGISLATURE COMMITTEE
180|99PAC00016|01/25/2002|99CAC00207|0|D|10/04/2001|2500|026|MIKE JOHANNS FOR GOVERNOR
181|99PAC00016|01/25/2002|99CAC00178|0|D|01/02/2001|100|026|PEOPLE FOR PREISTER
182|99PAC00016|01/25/2002|99CAC00178|0|D|12/18/2001|100|026|PEOPLE FOR PREISTER
183|99PAC00016|01/25/2002|99CAC00411|0|D|05/20/2001|100|026|RAY AGUILAR FOR LEGISLATURE
184|99PAC00016|01/25/2002|99CAC00088|0|D|10/22/2001|100|026|REDFIELD FOR LEGISLATURE
185|99PAC00016|01/25/2002|99CAC00090|0|D|09/27/2001|100|026|ROBAK FOR LEGISLATURE
186|99PAC00016|01/25/2002|99CAC00327|0|D|10/22/2001|100|026|SCHIMEK FOR LEGISLATURE
187|99PAC00016|01/25/2002|99CAC00315|0|D|05/04/2001|100|026|SOUTH OMAHANS FOR HILGERT
188|99PAC00016|01/25/2002|99CAC00085|0|D|03/27/2001|100|026|THE PRICE IS RIGHT FOR LEGISLATURE
189|99PAC00016|04/10/2002|99CAC00033|0|D|02/01/2002|100|026|BOURNE FOR LEGISLATURE
190|99PAC00016|04/10/2002|99CAC00096|0|D|01/03/2002|100|026|COMMITTEE TO ELECT DEB SUTTLE TO STATE LEGISLATURE
191|99PAC00016|04/10/2002|99CAC00258|0|D|03/19/2002|100|026|COMMITTEE TO ELECT LEO PAT ENGEL
192|99PAC00016|04/10/2002|99CAC00191|0|D|02/01/2002|100|026|CONNEALY FOR LEGISLATURE
193|99PAC00016|04/10/2002|99CAC00195|0|D|03/19/2002|100|026|DIERKS FOR LEGISLATURE (2002)
194|99PAC00016|04/10/2002|99CAC00169|0|D|03/19/2002|100|026|DWITE PEDERSEN FOR PUBLIC OFFICE
195|99PAC00016|04/10/2002|99CAC00107|0|D|03/19/2002|100|026|ED SCHROCK FOR LEGISLATURE
196|99PAC00016|04/10/2002|99CAC00429|0|D|04/08/2002|100|026|ERDMAN FOR LEGISLATURE
197|99PAC00016|04/10/2002|99CAC00226|0|D|03/26/2002|100|026|KREMER FOR LEGISLATURE
198|99PAC00016|04/10/2002|99CAC00430|0|D|03/11/2002|100|026|KRUSE FOR LEGISLATURE
199|99PAC00016|04/10/2002|99CAC00017|0|D|03/26/2002|100|026|NORTH LINCOLN VOTERS FOR LANDIS
200|99PAC00016|04/10/2002|99CAC00090|0|D|02/22/2002|100|026|ROBAK FOR LEGISLATURE
201|99PAC00016|04/10/2002|99CAC00584|0|D|02/11/2002|100|026|SYNOWIECKI FOR LEGISLATURE
202|99PAC00016|04/10/2002|99CAC00085|0|D|02/22/2002|100|026|THE PRICE IS RIGHT FOR LEGISLATURE
203|99PAC00016|06/20/2002|99CAC00569|0|D|04/30/2002|500|026|VICKIE MCDONALD FOR LEGISLATURE
204|99PAC00016|10/04/2002|99CAC00033|0|D|09/05/2002|250|026|BOURNE FOR LEGISLATURE
205|99PAC00016|10/04/2002|99CAC00562|0|D|09/05/2002|500|026|BRUNING FOR ATTORNEY GENERAL
206|99PAC00016|10/04/2002|99CAC00191|0|D|09/05/2002|0|026|CONNEALY FOR LEGISLATURE
207|99PAC00016|10/04/2002|99CAC00040|0|D|09/05/2002|250|026|DENNIS BYARS FOR LEGISLATURE
208|99PAC00016|10/04/2002|99CAC00195|0|D|09/05/2002|250|026|DIERKS FOR LEGISLATURE (2002)
209|99PAC00016|10/04/2002|99CAC00608|0|D|09/05/2002|500|026|FRED HLAVA FOR THE 49TH
210|99PAC00016|10/04/2002|99CAC00608|0|D|08/06/2002|100|026|FRED HLAVA FOR THE 49TH
