Committee Name|Committee ID|Date Received|State Code|Total|Expense Category
CARE PAC|99PAC00016|06/20/2002|99|50|029
CARE PAC|99PAC00016|10/10/2000|48|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|05/03/2005|16|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/01/2006|16|3000|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/01/2006|99|12500|029
COMMERCIAL FEDERAL PAC|99PAC00019|06/17/2005|99|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|01/13/2005|16|2000|029
COMMERCIAL FEDERAL PAC|99PAC00019|10/25/2004|17|500|029
COMMERCIAL FEDERAL PAC|99PAC00019|10/05/2004|99|3250|029
COMMERCIAL FEDERAL PAC|99PAC00019|06/23/2004|99|1900|029
COMMERCIAL FEDERAL PAC|99PAC00019|04/28/2004|16|2500|029
COMMERCIAL FEDERAL PAC|99PAC00019|04/13/2004|99|6500|029
COMMERCIAL FEDERAL PAC|99PAC00019|01/29/2004|17|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|01/29/2004|99|5500|029
COMMERCIAL FEDERAL PAC|99PAC00019|06/18/2003|16|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|06/18/2003|99|1500|029
COMMERCIAL FEDERAL PAC|99PAC00019|10/16/2002|99|6000|029
COMMERCIAL FEDERAL PAC|99PAC00019|06/25/2002|16|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|05/06/2002|43|300|029
COMMERCIAL FEDERAL PAC|99PAC00019|04/18/2002|16|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/04/2002|37|500|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/04/2002|28|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/04/2002|17|500|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/04/2002|16|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/04/2002|09|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|06/26/2001|28|3000|029
COMMERCIAL FEDERAL PAC|99PAC00019|06/26/2001|16|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|06/26/2001|06|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|10/24/2000|16|500|029
COMMERCIAL FEDERAL PAC|99PAC00019|10/16/2000|28|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|10/16/2000|16|500|029
COMMERCIAL FEDERAL PAC|99PAC00019|04/12/2000|48|1500|029
COMMERCIAL FEDERAL PAC|99PAC00019|04/12/2000|17|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/01/2000|48|1500|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/01/2000|43|500|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/01/2000|28|4500|029
COMMERCIAL FEDERAL PAC|99PAC00019|02/01/2000|16|1000|029
