Committee Name|Committee ID|Date Received|Transaction Date|Amount|Nature of Transaction|Description|Expense Category
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2002|10/01/2001|246|P|NE DEPT OF REVENUE                      |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2002|12/03/2001|1345|P|NE DEPT OF REVENUE                      |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/08/2002|04/29/2002|40|A|WIRE TRANSFER FEES FROM BANK            |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/24/2002|05/13/2002|1000|P|OMAHA FEDERATION OF LABOR - MAILINGS    |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/24/2002|05/31/2002|32|A|WILL TRANSFER FEES FROM BANK            |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/07/2002|08/07/2002|275|P|TED MCELDERRY CPA 2001 AUDIT & FINANCIAL|025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/07/2002|08/26/2002|149|P|NE DEPT OF REVENUE 1120N  7/1/01-6/30/02|025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/07/2002|08/26/2002|932|P|GREAT WESTR BK 1120POL 3RD QTR          |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/07/2002|08/01/2002|120|P|WIRE TRANSFER FEES-GREAT WESTERN BANK   |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/02/2003|01/27/2003|32|P|WIRE TRANSFER FEES FROM GREAT WESTERN BA|025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/02/2003|02/24/2003|24|P|WIRE TRANSFER FEES FROM GREAT WESTERN BA|025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/27/2003|03/31/2003|24|P|WIRE TRANSFER FEES FOR MARCH FROM BANK  |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/27/2003|04/30/2003|24|P|WIRE TRANSFER FEES FOR APRIL FROM BANK  |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/17/2003|05/30/2003|32|P|WIRE TRANSFER FEE                       |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2004|06/19/2003|200|P|NADC LATE FEE                           |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2004|09/08/2003|544|P|1120 POL FOR TE 2002                    |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2004|09/08/2003|87|P|1120N NE DEPT OF REVENUE                |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2004|09/22/2003|300|P|TED MCCEDERRY CPA                       |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/04/2004|04/09/2004|16|A|WIRE TRANSFER FEES                      |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/21/2004|04/27/2004|8|P|WIRE TRANSFERS                          |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/21/2004|05/24/2004|32|P|WIRE TRANSFERS                          |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|09/30/2004|08/20/2004|58|P|NE DEPT OF REV REAY END 2003            |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|09/30/2004|08/20/2004|275|P|TED MCELDERRY CPA YEAR END 2003 AUDIT   |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|09/30/2004|06/30/2004|40|P|JUNE WIRE TRANSFER FEES                 |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|09/30/2004|07/30/2004|48|P|JULY WIRE TRANSFER FEES                 |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|09/30/2004|08/30/2004|24|P|AUGUST WIRE TRANSFER FEES               |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/21/2004|09/29/2004|8|P|WIRE TRANSFER FEES                      |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/21/2004|09/30/2004|8|P|WIRE TRANSFER FEES                      |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/21/2004|09/30/2004|180|P|US POSTAL SERVICE                       |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/10/2005|10/31/2004|8|P|WIRE TRANSFER CHARGE                    |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/10/2005|11/30/2004|8|P|WIRE TRANSFER CHARGE                    |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/10/2005|12/30/2004|8|P|WIRE TRANSFER CHARGE                    |025
NE INSURANCE AND FINANCIAL ADVISORS PAC|99PAC00030|04/07/2000|01/13/2000|880.84|A|ACCOUNTS PAYABLE LISTED AS EXPENCE      |025
NE INSURANCE AND FINANCIAL ADVISORS PAC|99PAC00030|05/02/2000|04/11/2000|98.04|A|RECEIPT FROM NSALU                      |025
NE INSURANCE AND FINANCIAL ADVISORS PAC|99PAC00030|10/11/2000|09/30/2000|318.75|A|PER ADC LETTER DATED 8/7/00.            |025
NE INSURANCE AND FINANCIAL ADVISORS PAC|99PAC00030|10/31/2000|10/10/2000|4000|A|TRANSFER FROM NAIFA EDUCATIONAL TO SUPPO|025
NE INSURANCE AND FINANCIAL ADVISORS PAC|99PAC00030|02/01/2002|12/31/2001|6000|A|TRANSFER FROM NAFT/ NPTV PYMT ADJUSTMENT|025
NE INSURANCE AND FINANCIAL ADVISORS PAC|99PAC00030|04/12/2004|03/11/2004|316.8|F|REPAID AMT FOR BAKERS CANDIES           |025
NE INSURANCE AND FINANCIAL ADVISORS PAC|99PAC00030|10/05/2004|08/31/2004|.06|A|                                        |025
NE INSURANCE AND FINANCIAL ADVISORS PAC|99PAC00030|10/25/2004|10/12/2004|500|C|CORNETT FOR LEGIS RETURNED CHECK        |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|04/23/1999|01/31/1999|5.78|P|INCOME TAX                              |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|04/23/1999|02/10/1999|.92|P|INCOME TAX STATE                        |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|01/20/2000|01/01/1900|0| |                                        |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|04/10/2000|01/20/2000|600|P|BANK SERVICE CHARGE                     |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|04/10/2000|02/07/2000|32.77|P|IRS                                     |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|04/10/2000|02/07/2000|5.23|P|STATE OF NE INCOME TAX                  |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|04/10/2000|02/14/2000|4.04|P|LEA SUPPLIES                            |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|06/09/2000|05/18/2000|4.29|P|SUPPLIES                                |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|03/26/2001|02/08/2001|79.22|P|LEA SUPPLIES & POSTAGE                  |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|03/26/2001|02/25/2001|88.49|P|IRS INCOME TAX                          |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|03/26/2001|02/25/2001|14.11|P|STATE OF NE INCOME TAX                  |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|04/19/2001|04/09/2001|41.51|P|LEA POSTAGE & SUPPLIES                  |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|06/08/2001|04/16/2001|3|P|BANK SERVICE CHARGE                     |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|06/08/2001|04/26/2001|7.7|P|PURCHASE CHECKS                         |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|06/08/2001|05/03/2001|7.7|P|PURCHASE CHECKS                         |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|04/22/2003|04/07/2003|50.21|P|LEA - SUPPLIES & POSTAGE - LEA-PAC ELECT|025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|07/16/2003|04/07/2003|50.21|P|LEA - SUPPLIES AND POSTAGE - PAC ELECTIO|025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|04/09/2004|01/05/2004|94.57|P|POSTAGE, PRINTING, & PAPER              |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|10/04/2004|06/22/2004|15.25|A|BANK FEE FOR CHECKING ACCT-CK ORDER     |025
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|99PAC00031|10/04/2004|09/09/2004|28.91|P|POSTAGE/ENDORSEMT STAMP-CKING ACCT      |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/10/2001|11/02/2000|3500|C|SCOTT KNUDSEN SENT A CK $3500 TO RETURN |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/10/2001|10/30/2000|200|C|DWIGHT PEDERSEN RTD CK                  |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|04/10/2002|03/08/2002|27.44|P|FEES RELATED TO MEETING OF EXECS        |025
