Committee Name|Form B6 ID|Date Received|Form ID|Expenditure Date|Amount|Description|Recipient Name|Recipient Address
NEBRASKANS FOR NABITY|06CFL000324|03/27/2006|10|03/25/2006|447.75|1/3 page ad in York News Times|York News Times|4th and Platte York NE 68407
KEVIN STUKENHOLTZ SAUNDERS COUNTY SHERIFF |06CFL000341|04/11/2006|10|04/10/2006|300|check||
DUNNING FOR SHERIFF|06CFL000385|05/03/2006|10|05/01/2006|2899.08|newspaper ad|omaha world herald|14th and dodge st omaha ne 
FRIENDS FOR PAM TUSA|06CFL002191|11/06/2006|10|11/03/2006|500|NOT GIVEN|CITIZENS FOR BETTER DOUGLAS COUNTY GOVT|4702 SHIRLEY ST OMAHA 68106
COMMITTEE TO ELECT EUREK FOR NE LEGISLATURE|08CFL003142|10/10/2008|10|10/20/2008|1500|Newspaper|Nebraska Press Association|845 S Street, Lincoln, Ne 68508
TONY MERRITT FOR SCHOOL BOARD COMMITTEE|05CFL000030|04/21/2005|9|04/11/2005|5.33|Large School Board Map|Lancaster County Election Commission |601 N. 46th St., Lincoln NE  68503
WALLMAN FOR LEGISLATURE|06CFL000743|09/08/2006|10|03/24/2006|167.62|brochures to hand out|Myron Priority Printing|PO Box 802616 Chicago IL 60680
WALLMAN FOR LEGISLATURE|06CFL000743|09/08/2006|10|06/01/2006|177.57|brochures to hand out|Myron Priority Printing|PO Box 802616 Chicago IL 60680
WALLMAN FOR LEGISLATURE|06CFL000743|09/08/2006|10|07/19/2006|100|brochures to hand out|Myron Priority Printing|PO Box 802616 Chicago IL 60680
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|DALHIA CAVAZOS, I DESIGN|5568 SHIRLEY ST OMAHA 68106
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|BEATRICE DAILY SUN|200 N 7TH ST BEATRICE NE 68310
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|YORK NEWS TIMES|327 PLATTE AVE PO BOX 279 YORK 68467
COMMITTEE TO ELECT EUREK FOR NE LEGISLATURE|08CFL003142|10/10/2008|10|10/27/2008|1500|Newspaper|Nebraska Press Association|845 S Street, Lincoln, NE 68508
SEWARD COUNTY JAIL BOND ISSUE (NOT REGISTERED)|08CFL003148|10/21/2008|10|10/17/2008|743.4|Newspaper ad|Seward County Independent|129 S 6th St Seward, NE 68434
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|ROBERT F FELL, COMMUNICATIONS CONSULTANT|11308 PINE PLAZA OMAHA 68144
WALLMAN FOR LEGISLATURE|06CFL000743|09/08/2006|10|09/05/2006|20|brochures to hand out|Myron Priority Printing|PO Box 802616 Chicago IL 60680
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|FALLS CITY JOURNAL|1810 HARLAN ST FALLS CITY, NE 68355
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|HEBRON JOURNAL-REGISTER|318 LINCOLN AVE HEBRON NE 68370
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|SUPERIOR EXPRESS NEWSPAPER|148 E 3RD ST SUPERIOR NE 68978
