Committee Name|Committee ID|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Type of Contributor|PAC ID|Description Of Services|PAC Name
JOHN HENRY\'S PLUMBING, HEATING CO.|99CON00807|09/27/2004|CORIEJ  |09/23/2004|09/22/2004|6840205|C|          ||
VILLAGE LAND COMPANY|99CON00981|08/12/2002|TERII   |08/05/2002|08/02/2002|6430094|C|          ||
BLUE RIVER LAND CORPORATION|99CON01013|01/28/2002|TERII   |01/22/2002|01/22/2002|6250145|C|          ||
LINCOLN FEDERAL BANCORP|99CON01014|09/20/2004|CORIEJ  |09/16/2004|09/15/2004|6840174|C|          ||
TRACEY BROADCASTING|99CON01110|10/16/2000|KAREN   |10/05/2000|10/03/2000|5980101|C|          ||
FIRST STATE BANK OF HICKMAN|99CON01393|02/24/2005|CORIEJ  |02/10/2005|02/09/2005|6920234|C|          ||
AMERICAN NATIONAL BANK - OMAHA|99CON01398|02/24/2005|SERENAD |01/31/2005|01/27/2005|6920087|C|          ||
FIRST STATE BANK( SCOTTSBLUFF)|99CON01399|09/27/2000|KATHYS  |10/12/1999|10/08/1999|5760055|C|          ||
FIRST STATE BANK( SCOTTSBLUFF)|99CON01399|09/27/2000|KATHYS  |03/15/2000|03/14/2000|5870040|C|          ||
WERNER CONSTRUCTION, INC.|99CON01406|08/26/2002|TERII   |08/19/2002|08/16/2002|6430140|C|          ||
M.E. COLLINS CONTRACTING|99CON01414|12/03/2001|TERII   |11/26/2001|11/19/2001|6220126|C|          ||
M.E. COLLINS CONTRACTING|99CON01414|07/12/2002|TERII   |07/10/2002|07/08/2002|6420208|C|          ||
M.E. COLLINS CONTRACTING|99CON01414|11/01/2004|CORIEJ  |10/26/2004|10/25/2004|6870108|C|          ||
WISE-MACK, INC|99CON01423|11/29/2000|KAREN   |11/21/2000|11/20/2000|6010155|C|          ||
HOSE & HANDLING, INC.|99CON01537|12/04/2000|KAREN   |11/28/2000|11/27/2000|6010169|C|          ||
NORTH PLATTE HOME BUILDERS ASS|99CON01573|05/21/2001|SERENAD |05/16/2001|05/14/2001|6180214|C|          ||
HIGH PLAINS BUDWEISER|99CON01708|10/15/2001|TERII   |10/09/2001|10/09/2001|6210247|C|          ||
K & Z DISTRIBUTING COMPANY, INC.|99CON01731|10/18/2004|CORIEJ  |10/12/2004|10/12/2004|6860024|C|          ||
K & Z DISTRIBUTING COMPANY, INC.|99CON01731|11/29/2004|SERENAD |11/22/2004|11/19/2004|6880114|C|          ||
