Committee Name|Committee ID|Date Received|Contributor ID|Contribution Date|Amount|Microfilm Number|Contributor Name
BOYER YOUNG DEVELOPMENT|99CON04353|10/04/2004|99CAC00440|09/15/2004|100|6850181|ALDONA DOYLE FOR SARPY COUNTY BOARD
BOYER YOUNG DEVELOPMENT|99CON04353|10/04/2004|99CAC00440|09/28/2004|400|6850181|ALDONA DOYLE FOR SARPY COUNTY BOARD
BOYER YOUNG DEVELOPMENT|99CON04353|01/11/2005|99CAC00544|12/29/2004|1000|6900160|COMMITTEE TO ELECT JIM VOKAL
BOYER YOUNG DEVELOPMENT|99CON04353|01/11/2005|99CAC00548|01/05/2005|1000|6900160|DAN WELCH FOR CITY COUNCIL
BOYER YOUNG DEVELOPMENT|99CON04353|02/09/2005|99BQC00101|01/03/2005|500|6920226|CITIZENS FOR MILLARD PUBLIC SCHOOLS (2005)
BOYER YOUNG DEVELOPMENT|99CON04353|02/09/2005|99CAC00406|01/10/2005|1000|6920226|CLIFF HERD FOR CITY COUNCIL DISTRICT 6
BOYER YOUNG DEVELOPMENT|99CON04353|02/09/2005|99CAC00547|01/10/2005|1000|6920226|THE COMMITTEE TO ELECT CHUCK SIGERSON
CURT HOFER CONSTRUCTION|99CON04355|03/14/2001|99CAC00251|02/06/2001|1000|6090022|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
CURT HOFER CONSTRUCTION|99CON04355|01/19/2005|99CAC00548|12/28/2004|1000|6910039|DAN WELCH FOR CITY COUNCIL
UMB FINANCIAL CORPORATION PAC|99CON04359|03/05/2001|99CAC00442|02/01/2001|500|6070189|MICHAEL G. FAHEY FOR MAYOR
SPARKLING KLEAN SERVICE|99CON04364|03/13/2001|99CAC00251|01/11/2001|1000|6090040|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
WAITT OUTDOOR ADVERTISING|99CON04372|12/03/2003|99CAC00547|11/25/2003|500|6640158|THE COMMITTEE TO ELECT CHUCK SIGERSON
ROBERT MILLER PROPERTIES|99CON04387|03/14/2001|99CAC00442|03/06/2001|500|6090028|MICHAEL G. FAHEY FOR MAYOR
DIVERSIFIED PROPERTY RESOURCES|99CON04396|03/15/2001|99CAC00455|02/20/2001|1000|6090015|WINSTROM FOR CITY COUNCIL
KUBAT PHARMACY|99CON04401|02/09/2005|99CAC00548|01/17/2005|1000|6920243|DAN WELCH FOR CITY COUNCIL
GOTHENBURG EDUCATION ASSOCIATI|99CON04424|03/28/2001|99BQC00062|03/14/2001|460|6130163|GOTHENBURG SCHOOL BUILDERS
PAYROLL MAXX, LLC|99CON04459|04/10/2001|99CAC00544|03/01/2001|250|6160067|COMMITTEE TO ELECT JIM VOKAL
PAYROLL MAXX, LLC|99CON04459|04/10/2001|99CAC00547|03/01/2001|250|6160067|THE COMMITTEE TO ELECT CHUCK SIGERSON
