Committee Name|Committee ID|Date Received|Contributor ID|Contribution Date|Amount|Nature Of Contribution|Support/Oppose|Description|Microfilm Number|Contributor Name
AAA RENTS, INCORPORATED|99CUA00004|07/13/2000|99BQC00038|05/09/2000|807.81|I|0|                                                  |5960193|BUILD IT OMAHA COMMITTEE
HDR, INC.|99CUA00046|04/08/2005|99CAC00709|03/31/2005|-144.65|I|0||7020119|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|05/18/2005|99CAC00709|04/30/2005|9424.12|P|0||7050051|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|06/06/2005|99CAC00709|05/31/2005|8542.9|P|0||7060036|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|04/08/2005|99CAC00709|03/31/2005|8418.96|P|0||7020119|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|03/07/2005|99CAC00709|02/28/2005|8452.02|P|0||6950227|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|02/03/2005|99CAC00709|01/31/2005|144.65|I|0||6920110|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|02/03/2005|99CAC00709|01/31/2005|5434.61|P|0||6920110|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|01/07/2005|99CAC00709|12/31/2004|183.25|I|0|                                                  |6890162|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|01/07/2005|99CAC00709|12/31/2004|4633.32|P|0|                                                  |6890162|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|12/08/2004|99CAC00709|11/30/2004|91.58|I|0|                                                  |6880176|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|12/08/2004|99CAC00709|11/30/2004|4253.25|P|0|                                                  |6880176|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|11/12/2004|99CAC00709|10/30/2004|27.43|I|0|                                                  |6880048|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
HDR, INC.|99CUA00046|11/12/2004|99CAC00709|10/30/2004|843.34|P|0|                                                  |6880048|FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)
PLUMBERS LOCAL UNION NO. 16 COPE FUND|99CUA00063|04/20/2000|99BQC00038|04/05/2000|5413|I|0|                                                  |5920056|BUILD IT OMAHA COMMITTEE
AQUILA NETWORKS, INC.|99CUA00064|11/12/1999|99CAC00311|11/10/1999|39.79|I|0|                                                  |5760193|HARTNETT FOR LEGISLATURE
AQUILA NETWORKS, INC.|99CUA00064|10/12/1999|99CAC00384|10/01/1999|55.38|I|0|                                                  |5760068|QUANDAHL FOR LEGISLATURE
AQUILA NETWORKS, INC.|99CUA00064|05/09/1996|99CAC00178|04/30/1996|697|I|0|                                                  |4770010|PEOPLE FOR PREISTER
AQUILA NETWORKS, INC.|99CUA00064|05/09/1996|99CAC00315|04/30/1996|697|I|0|                                                  |4770010|SOUTH OMAHANS FOR HILGERT
AQUILA NETWORKS, INC.|99CUA00064|05/09/1996|99CAC00141|04/30/1996|697|I|0|                                                  |4770010|MIKE AVERY FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|03/07/2012|07CAC01035|02/15/2012|27.95|I|0|Co-Sponsor fundraising event |8570116|NORDQUIST FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|01/06/2012|07CAC01062|12/15/2011|66.29|I|0|FUNDRAISER EXPENSE|8500236|KATHY CAMPBELL FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|01/06/2011|08CAC01089|12/01/2010|36.48|I|0|None|8320172|KEN HAAR FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|02/06/2012|99CAC00618|01/18/2012|50.35|I|0|FUNDRAISING EVENT|8540098|LOUDEN FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|11/03/2011|99CAC00662|10/14/2011|31.47|I|0|co-sponsor of fundraiser events|8490250|HOWARD FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|06/06/2011|09CAC01383|05/01/2011|51.1|I|0|fundraiser co-sponsor share|8470246|TONY FULTON COMMITTEE (DISSOLVED)
JENSEN ASSOCIATES, INC.|99CUA00066|10/01/2010|05CAC00762|09/30/2010|39.17|I|0|NONE|8280002|MARK CHRISTENSEN FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|07/06/2011|08CAC01080|06/15/2011|64.5|I|0|co-sponsor of fundraiser event|8480146|SCHILZ FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|02/07/2011|08CAC01069|01/14/2011|29.31|I|0|Co-Sponsorship of fundraiser events|8360066|SULLIVAN FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|10/05/2011|11CAC01585|09/16/2011|35.45|I|0|co-sponsor of fundraiser event|8490163|TURCO FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|05/02/2011|10CAC01410|04/01/2011|45.63|I|0|fundraiser co-sponsor share|8470058|CITIZENS TO ELECT JIM SMITH
JENSEN ASSOCIATES, INC.|99CUA00066|05/02/2011|07CAC01063|04/01/2011|26.28|I|0|fundraiser co-sponsor share|8470058|FRIENDS FOR HEATH MELLO
JENSEN ASSOCIATES, INC.|99CUA00066|12/08/2011|07CAC01042|11/15/2011|42.97|I|0|Co-sponsor of fundraising events|8500087|DENNIS UTTER FOR LEGISLATURE 
JENSEN ASSOCIATES, INC.|99CUA00066|07/06/2011|05CAC00762|06/01/2011|59.92|I|0|co-sponsor of fundraiser event|8480146|MARK CHRISTENSEN FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|02/06/2012|12CAC01605|01/13/2012|36.65|I|0|FUNDRAISING EVENT|8540098|JERRY JOHNSON FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|01/06/2012|11CAC01598|12/01/2011|34|I|0|FUNDRAISER EXPENSE|8500236|LAMBERT FOR LEGISLATURE COMMITTEE
JENSEN ASSOCIATES, INC.|99CUA00066|12/08/2011|99CAC00663|11/15/2011|34.5|I|0|Co-sponsor of fundraising events|8500087|FRIENDS FOR ABBIE CORNETT
JENSEN ASSOCIATES, INC.|99CUA00066|12/08/2011|10CAC01440|11/15/2011|38|I|0|Co-sponsor of fundraising events|8500087|LYDIA BRASCH FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|11/03/2011|11CAC01588|10/03/2011|44.78|I|0|co-sponsor of fundraiser events|8490250|MURANTE FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|05/02/2011|11CAC01555|04/15/2011|39.98|I|0|fundraiser co-sponsor share|8470058|DAVE BLOOMFIELD FOR LEGISLATURE 
JENSEN ASSOCIATES, INC.|99CUA00066|05/02/2011|08CAC01118|04/01/2011|55.47|I|0|fundraiser co-sponsor share|8470058|CITIZENS TO ELECT SCOTT PRICE
JENSEN ASSOCIATES, INC.|99CUA00066|05/02/2011|09CAC01380|04/18/2011|31.42|I|0|fundraiser co-sponsor share|8470058|BOB KRIST FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|02/07/2011|99CAC00686|01/14/2011|28.58|I|0|Co-Sponsorship of fundraiser events|8360066|COMMITTEE TO ELECT LAVON HEIDEMANN (LEGISLATURE)
JENSEN ASSOCIATES, INC.|99CUA00066|12/08/2011|08CAC01069|11/15/2011|62.09|I|0|Co-sponsor of fundraising events|8500087|SULLIVAN FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|12/08/2011|99CAC00686|11/01/2011|40|I|0|Co-sponsor of fundraising events|8500087|COMMITTEE TO ELECT LAVON HEIDEMANN (LEGISLATURE)
JENSEN ASSOCIATES, INC.|99CUA00066|11/03/2011|08CAC01089|10/20/2011|30.75|I|0|co-sponsor of fundraiser events|8490250|KEN HAAR FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|03/02/2011|09CAC01380|02/01/2011|26.51|I|0|Co-sponsorship of fundraiser event|8380040|BOB KRIST FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|02/07/2011|99CAC00663|01/14/2011|52.95|I|0|Co-Sponsorship of fundraiser events|8360066|FRIENDS FOR ABBIE CORNETT
JENSEN ASSOCIATES, INC.|99CUA00066|02/06/2012|11CAC01555|01/13/2012|42.87|I|0|FUNDRAISING EVENT|8540098|DAVE BLOOMFIELD FOR LEGISLATURE 
JENSEN ASSOCIATES, INC.|99CUA00066|02/06/2012|07CAC01063|01/13/2012|29.83|I|0|fundraising event|8540098|FRIENDS FOR HEATH MELLO
JENSEN ASSOCIATES, INC.|99CUA00066|12/08/2011|09CAC01380|11/15/2011|21.8|I|0|Co-sponsor of fundraising events|8500087|BOB KRIST FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|01/06/2011|07CAC01031|12/29/2010|26.53|I|0|None|8320172|FRIENDS OF CHARLIE JANSSEN
JENSEN ASSOCIATES, INC.|99CUA00066|01/06/2011|07CAC01045|12/29/2010|48|I|0|None|8320172|COMMITTEE TO ELECT COLBY COASH
JENSEN ASSOCIATES, INC.|99CUA00066|05/03/2010|09CAC01380|04/29/2010|35.52|I|0|fundraiser|8230174|BOB KRIST FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|05/03/2010|07CAC01052|04/16/2010|31.24|I|0|fundraiser|8230174|MIKE GLOOR FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|05/03/2010|06CAC00853|04/16/2010|34.25|I|0|fundraiser|8230174|NELSON FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|05/03/2010|10CAC01431|04/12/2010|35|I|0|fundraiser|8230174|BOB TIEMANN FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|04/06/2010|05CAC00722|03/22/2010|50|I|0|Fundraiser|8200122|GOVERNOR HEINEMAN COMMITTEE
JENSEN ASSOCIATES, INC.|99CUA00066|04/06/2010|08CAC01069|03/15/2010|27.14|I|0|Fundraiser|8200122|SULLIVAN FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|04/06/2010|06CAC00875|03/15/2010|25.57|I|0|Fundraiser|8200122|DIERKS FOR LEGISLATURE (2010)
JENSEN ASSOCIATES, INC.|99CUA00066|03/10/2009|05CAC00755|02/17/2009|125|I|0|None|7930056|ASHFORD FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|02/05/2009|99CAC00686|01/15/2009|24.05|I|0|None|7890028|COMMITTEE TO ELECT LAVON HEIDEMANN (LEGISLATURE)
JENSEN ASSOCIATES, INC.|99CUA00066|02/05/2009|99CAC00670|01/15/2009|25.29|I|0|None|7890028|LANGEMEIER FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|02/05/2009|06CAC00807|01/02/2009|30.49|I|0|None|7890028|MCGILL FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|02/05/2009|05CAC00735|01/02/2009|31.63|I|0|None|7890028|ANNETTE DUBAS FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|01/03/2008|05CAC00743|12/15/2007|35.68|I|0|Fundraiser|7610132|TIM GAY FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|01/03/2008|07CAC01043|12/15/2007|23.75|I|0|Fundraiser|7610132|CITIZENS FOR MARVIN
JENSEN ASSOCIATES, INC.|99CUA00066|01/03/2008|07CAC01035|12/01/2007|25.17|I|0|Fundraiser|7610132|NORDQUIST FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|01/03/2008|99CAC00687|12/01/2007|35.44|I|0|Fundraiser|7610132|KOPPLIN FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|03/04/2010|05CAC00744|02/15/2010|29.62|I|0|fundraiser|8140165|CONRAD FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|03/04/2010|10CAC01392|02/15/2010|31.27|I|0|fundraiser|8140165|BURKE HARR FOR LEGISLATURE 
JENSEN ASSOCIATES, INC.|99CUA00066|11/09/2009|05CAC00740|10/20/2009|100|I|0|None|8040232|PETE PIRSCH FOR LEGISLATURE
JENSEN ASSOCIATES, INC.|99CUA00066|11/09/2009|05CAC00743|10/15/2009|34.25|I|0|None|8040232|TIM GAY FOR LEGISLATURE
