Contributor Name|Form ID|Contributor ID|Postmark Date|Date Received|Microfilm Number|Contributor Type|Date Last Revised|Last Revised By|Contributor Phone
INTERNATIONAL ASSN OF FIRE FIGHTERS|11CFL004753|99CUA02822|09/07/2011|09/12/2011|0|L|09/14/2011|nadc01|
GAY & LESBIAN VICTORY FUND|05CFL000058|05CUA03216|05/05/2005|05/05/2005|7040107|C|05/09/2005|nadc06|2028428679
BOYD GAMING CORPORATION|06CFL000364|06CUA03631|04/03/2006|04/03/2006|7260024|C|05/02/2006|nadc01|7027927200
BOYD GAMING CORPORATION|06CFL000389|06CUA03631|05/05/2006|05/05/2006|7300018|C|05/12/2006|nadc06|7027927200
FORT MCDOWELL YAVAPAI NATION|06CFL000408|06CON11358|05/10/2006|05/10/2006|7300145|P|05/15/2006|nadc06|4808167146
AMERICA AT ITS BEST|06CFL000438|06CON11374|06/13/2006|06/13/2006|7320095|C|06/19/2006|nadc06|4062576001
AMERICA AT ITS BEST|06CFL000524|06CON11374|08/08/2006|08/08/2006|7340134|C|08/14/2006|nadc06|4062576001
NATIONAL EDUCATION ASSOCIATION|06CFL002221|06CUA03815|11/09/2006|11/09/2006||L|11/09/2006|nadc06|2028334000
AMERICA AT ITS BEST|06CFL002227|06CON11374|11/09/2006|11/09/2006||C|11/13/2006|nadc06|4062576001
REPUBLICAN STATE LEADERSHIP COMMITTEE|09CFL003687|09CUA06199|07/06/2009|07/09/2009|8030019|P|07/13/2009|nadc06|5714804860
REPUBLICAN STATE LEADERSHIP COMMITTEE|09CFL003450|09CUA06199|05/08/2009|05/11/2009|8010119|P|05/18/2009|nadc06|5714804860
BOYD GAMING CORPORATION|06CFL000535|06CUA03631|09/06/2006|09/06/2006|7350062|C|09/11/2006|nadc06|7027927200
BOYD GAMING CORPORATION|06CFL000431|06CUA03631|06/06/2006|06/06/2006|7310234|C|06/12/2006|nadc06|7027921150
AMERICA AT ITS BEST|06CFL000826|06CON11374|09/11/2006|09/11/2006|7350142|C|09/18/2006|nadc06|4062576001
AMERICA AT ITS BEST|06CFL001355|06CON11374|10/06/2006|10/06/2006|7360128|C|10/16/2006|nadc05|4062576001
COLORADO AT ITS BEST|06CFL001364|06CUA03813|10/10/2006|10/10/2006||C|10/16/2006|nadc01|
REPUBLICAN GOVERNORS ASSOCIATION|06CFL001389|06CON12390|10/25/2006|10/25/2006||P|10/25/2006|nadc06|2026624140
TEAM SAM|08CFL002594|08CUA04930|05/20/2008|05/27/2008|7780014|C|06/03/2008|nadc06|3129200080
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003110|08CON13671|09/10/2008|09/15/2008|7810022|C|09/22/2008|nadc06|9164442278
AMERICA AT ITS BEST|06CFL000505|06CON11374|07/06/2006|07/06/2006|7330173|C|07/10/2006|nadc06|4062576001
COLORADO AT ITS BEST|06CFL000512|06CUA03813|07/07/2006|07/07/2006|7330175|C|07/10/2006|nadc06|3032783636
NATIONAL EDUCATION ASSOCIATION|06CFL000518|06CUA03815|07/10/2006|07/10/2006|7330229|L|07/17/2006|nadc06|2028334000
AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES|06CFL001357|99CUA01007|10/05/2006|10/10/2006||C|10/16/2006|nadc01|9164411570
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CON13671|06/10/2008|06/13/2008|7780122|C|06/16/2008|nadc06|9164442278
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003250|08CON13671|11/07/2008|11/13/2008|7840185|C|11/17/2008|nadc06|9164442278
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002706|08CON13671|08/13/2008|08/14/2008|7800111|C|08/18/2008|nadc06|
WOODBURY CORPORATION (GROUP)|10CFL004508|10CON15745|05/18/2010|05/18/2010|8240087|C|05/25/2010|nadc06|8014857770
WOODBURY CORPORATION (GROUP)|10CFL004511|10CON15745|05/24/2010|05/27/2010|8240120|C|06/01/2010|nadc06|8014857770
BOYD GAMING CORPORATION|06CFL000521|06CUA03631|08/03/2006|08/03/2006|7340089|C|08/07/2006|nadc06|7027927200
BOYD GAMING CORPORATION|06CFL000497|06CUA03631|07/06/2006|07/06/2006|7330174|C|07/10/2006|nadc06|7027927200
NATIONAL EDUCATION ASSOCIATION|08CFL002750|06CUA03815|08/18/2008|08/18/2008|7800128|L|08/25/2008|nadc06|2028334000
TIDES FOUNDATION|08CFL002754|08CUA05122|08/21/2008|08/25/2008|7800153|C|09/02/2008|nadc06|4155616400
TEAM SAM|08CFL003246|08CUA04930|11/06/2008|11/10/2008|7840186|C|11/17/2008|nadc06|
NEA FUND FOR CHILDREN & PUBLIC EDUCATION, THE|10CFL004336|99CON02492|02/26/2010|03/01/2010|8140179|L|03/11/2010|nadc06|2028227332
COAST CASINOS, INC.|05CFL1|99CON08017|03/31/2005|04/01/2005|7010163|C|04/11/2005|nadc06|7023657000
REPUBLICAN STATE LEADERSHIP CO|05CFL000135|99CON08267|07/08/2005|07/08/2005|7070034|C|07/11/2005|nadc01|
TEAM SAM|08CFL002693|08CUA04930|07/17/2008|07/21/2008||C|07/21/2008|nadc06|
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CON13671|07/10/2008|07/14/2008|7790230|C|07/21/2008|nadc06|9164833055
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|10CFL004283|08CON13671|02/12/2010|02/16/2010|0|C|02/16/2010|nadc06|9164442278
