Candidate First Name|Candidate Last Name|Candidate ID|Date Received|Income Source Name|Income Source Address|Income Reason|Type of Inocome
LYNAM|THOMAS|99FIS00058|05/11/1999|HDR INC. NANCY LYNAM 401K     |LOAN)  8404 INDIAN HILLS DR.            ||C
LYNAM|THOMAS|99FIS00058|05/11/1999|                              |                                        || 
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|DOUGLAS COUNTY                |OMAHA NE                                ||I
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|RENTAL INCOME PROPERTY        |                                        ||I
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|HUSBANDS INCOME               |OMAHA NE                                ||I
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|DOUGLAS CO HOSPITAL           |OMAHA NE                                ||B
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|DOUGLAS CO  BRD EQUALIZAT     |OMAHA NE                                ||B
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|DOUGLAS CO LAND REV.          |OMAHA NE                                ||B
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|1ST NATIONAL BANKOF OMAHA     |OMAHA NE                                ||F
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|OMAHA POLICE FED CREDIT U     |OMAHA NE                                ||F
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|ENRON CORP                    |                                        ||S
MCCALLISTER|KATHLEEN|99FIS00062|03/30/2000|AETNA                         |                                        ||S
MILLS|GEORGE|99FIS00071|07/08/1999|CBS REAL ESTATE               |1200 PACIFIC  OMAHA, NE                 ||I
MILLS|GEORGE|99FIS00071|07/08/1999|DOUGLAS CO. COMMISSIONER      |1819 FARNAM ST.  OMAHA, NE              ||I
MILLS|GEORGE|99FIS00071|07/08/1999|BERKSHIRE HATHAWAY            |3555 FARNAM ST.  OMAHA, NE              ||I
MILLS|GEORGE|99FIS00071|07/08/1999|DOUGLAS CO. HOSPITAL          |4102 WOOLWORTH  OMAHA, NE               ||B
MILLS|GEORGE|99FIS00071|07/08/1999|DOUGLAS CO. LAND REUTILIZ     |500 S. 18TH ST.  OMAHA, NE              ||B
MILLS|GEORGE|99FIS00071|07/08/1999|PASSAGE LLC                   |5146 PINE ST.  OMAHA, NE                ||B
MILLS|GEORGE|99FIS00071|07/08/1999|1ST NATIONAL BANK             |16TH & DODGE ST.  OMAHA, NE             ||F
MILLS|GEORGE|99FIS00071|07/08/1999|SECURITY NATIONAL BANK        |52ND & CENTER   OMAHA, NE               ||F
MILLS|GEORGE|99FIS00071|07/08/1999|ENTERPRISE BANK               |210 REGENCY PKWY.  OMAHA, NE            ||F
